"ticker"	"name"	"rrg"	"data"	"close"	"factor"	"atr_low"	"atr_high"	"DC_low"	"DC_high"	"sd_low"	"sd_high"	"stop_loss"	"hi1"	"hi2"	"hi3"	"hi4"	"lo1"	"lo2"	"lo3"	"lo4"	"flr"	"clg"
"GG.MI"	"GIGLIO GROUP"	-1	2025-10-27	0.22	1	0.212451476261986	0.227548523738014	0.24	0.22	0.213842720737851	0.226157279262149	0.25	0.24	0.25	0.83	4.55	0.23	0.21	0.21	1.45	1.85	2.73
"GHC.MI"	"GAROFALO HEALTH CARE"	-1	2026-03-31	4.61	1	4.42997449070343	4.79002550929657	4.78	4.34	4.34148249898443	4.87851750101557	5.57	4.78	5.64	5.95	5.92	4.4	4.45	4.34	3.61	3.58	5.92
"GIS.MI"	"GISMONDI 1754"	-1	2026-03-31	1.36	1	1.32466252538698	1.39533747461302	1.41	1.27	1.33427961000415	1.38572038999585	1.46	1.41	1.6	1.98	8.3	1.32	1.26	1.26	3.45	1.72	8.3
"GO.MI"	"GO INTERNET"	-1	2024-08-02	0.7	1	0.679585946119976	0.720414053880024	0.81	0.7	0.658543018456702	0.741456981543298	0.88	0.79	0.88	0.88	539	0.7	0.72	0.6	234.5	234.5	645
"GRAL.MI"	"GRIFAL"	-1	2026-03-31	0.69	1	0.662140438024183	0.717859561975816	0.8	0.68	0.638197331308933	0.741802668691067	0.98	0.71	0.98	1.66	3.14	0.69	0.9	0.68	1.8	1.8	3.14
"GROW.MI"	"GROWENS"	-1	2026-03-31	2.5	1	2.37772329520946	2.62227670479054	2.53	2.33	2.45950172978867	2.54049827021133	2.67	2.5	2.67	2.98	8.06	2.33	2.15	2.1	3.75	3.71	8.06
"GVS.MI"	"GVS"	-1	2026-03-31	3.56	1	3.3889700203303	3.7310299796697	3.99	3.32	3.44804435729243	3.67195564270757	3.99	3.99	4.31	5.27	5.69	3.41	3.32	3.32	3.83	3.83	5.72
"HER.MI"	"HERA"	-1	2026-03-31	3.97	1	3.86926389529543	4.07073610470457	4.2	3.8	3.87734680046207	4.06265319953793	4.22	3.98	4.22	4.45	4.47	3.86	3.8	3.8	2.12	1.98	3.78
"IB.MI"	"INIZIATIVE BRESCIANE"	-1	2026-03-31	11.7	1	11.4063377802676	11.9936622197324	12.5	11.5	11.5089934124604	11.8910065875396	13	12.1	13	13	193	11.7	11.8	11.2	85.2	13.2	15.1
"ICOS.MI"	"INTERCOS"	-1	2026-03-31	12.4	1	12.0163780640041	12.7836219359959	12.72	11.2	12.0431025018639	12.7568974981361	12.76	11.98	12.76	13.2	16.88	11.2	11.38	11.2	10.42	9.76	16.92
"IDNTT.MI"	"IDNTT"	-1	2026-03-30	2.78	1	2.7328216843771	2.8271783156229	2.9	2.66	2.71315591373852	2.84684408626148	2.9	2.9	2.8	2.96	3.74	2.74	2.58	2.54	2.48	2.1	3.74
"IE.MI"	"IERVOLINO & LADY BACARDI ENTERTAINMENT"	-1	2024-11-06	0.43	1	0.425002138879822	0.434997861120178	0.43	0.43	0.43	0.43	0.43	0.41	0.71	1.26	3.74	0.38	0.42	0.35	1.1	2.22	4.8
"IF.MI"	"BANCA IFIS"	-1	2026-03-31	20.98	1	20.354876646103	21.605123353897	22.66	20.9	20.5820933899397	21.3779066100603	23.68	22.66	27.64	27.72	16.09	21.12	21.76	16.83	10.55	10.55	22.16
"IGV.MI"	"I GRANDI VIAGGI"	-1	2026-03-31	2.17	1	2.09158843285009	2.24841156714991	2.42	2.14	2.11256393903739	2.22743606096261	2.42	2.21	2.42	2.84	3.08	2.14	2.18	2.12	0.72	0.72	0.94
"IIG.MI"	"IIG"	-1	2024-07-31	0.16	1	0.1599986414876	0.1600013585124	0.16	0.16	0.16	0.16	0.16	0.17	0.4	0.76	1.1	0.14	0.09	0.09	0.12	0.12	1.18
"ILLA.MI"	"ILLA"	-1	2026-03-30	0	1	-1.36257225411981e-19	1.36257225411981e-19	0	0	0	0	0	0.11	8.2	1750	1.1	0.09	3.6	0	0.12	44000	74000
