"date"	"ticker"	"name"	"volume"
"2025-01-22 15:39:03"	"GG.MI"	"GIGLIO GROUP"	57367
"2025-01-22 16:35:14"	"DAN.MI"	"DANIELI & C"	56708
"2025-01-22 16:35:28"	"FNM.MI"	"FNM"	54667
"2025-01-22 16:35:04"	"EQUI.MI"	"EQUITA GROUP"	51576
"2025-01-22 16:37:01"	"GVS.MI"	"GVS"	50996
"2025-01-22 16:35:26"	"FILA.MI"	"FILA"	49994
"2025-01-22 15:53:55"	"NSP.MI"	"NEOSPERIENCE"	47000
"2025-01-22 16:35:21"	"TB.MI"	"TRIBOO"	45780
"2025-01-22 16:35:12"	"EEMS.MI"	"EEMS"	44737
"2025-01-22 16:35:04"	"BAN.MI"	"BASICNET"	44465
"2025-01-22 16:35:29"	"CML.MI"	"COMAL"	42877
"2025-01-22 16:35:04"	"CSP.MI"	"CSP INT IND CALZE"	42418
"2025-01-22 16:35:18"	"BIA.MI"	"BIALETTI INDUSTRIE"	39505
"2025-01-22 16:35:25"	"ABT.MI"	"ABITARE IN"	38672
"2025-01-22 16:11:00"	"CBB.MI"	"CLEANBNB"	37600
"2025-01-22 16:29:59"	"MNL.MI"	"MONNALISA"	37532
"2025-01-22 16:13:12"	"SCK.MI"	"SCIUKER FRAMES"	37237
"2025-01-22 16:35:18"	"NDT.MI"	"NEODECORTECH"	36931
"2025-01-22 16:35:24"	"CY4.MI"	"CY4GATE"	36334
"2025-01-22 16:24:55"	"AEDES.MI"	"AEDES"	35924
"2025-01-22 16:21:57"	"TWL.MI"	"TRAWELL CO"	35640
"2025-01-22 16:35:14"	"CRL.MI"	"CAREL INDUSTRIES"	35586
"2025-01-22 16:35:23"	"CNF.MI"	"CONAFI"	33727
"2025-01-22 15:30:32"	"CVG.MI"	"CONVERGENZE"	32500
"2025-01-22 16:35:00"	"EVISO.MI"	"EVISO"	31259
"2025-01-22 16:35:13"	"AV.MI"	"ANTARES VISION"	30641
"2025-01-22 16:35:24"	"CELL.MI"	"CELLULARLINE"	30585
"2025-01-22 13:13:19"	"FRE.MI"	"FRENDY ENERGY"	30240
"2025-01-22 16:35:05"	"REY.MI"	"REPLY"	30057
"2025-01-22 16:35:26"	"CYB.MI"	"CYBEROO"	28965
"2025-01-22 16:35:27"	"SES.MI"	"SESA"	27076
"2025-01-22 16:29:48"	"CED.MI"	"CALTAGIRONE EDIT"	26960
"2025-01-22 15:11:27"	"PLC.MI"	"PLC"	25169
"2025-01-22 16:35:01"	"CMB.MI"	"CEMBRE"	24926
"2025-01-22 15:47:39"	"S24.MI"	"IL SOLE 24 ORE"	24548
"2025-01-22 16:35:03"	"ITW.MI"	"IT WAY"	24449
"2025-01-22 16:35:22"	"SOL.MI"	"SOL"	24153
"2025-01-22 16:35:22"	"OSA.MI"	"OSAI AUTOMATION SYSTEM"	23459
"2025-01-22 16:35:15"	"TALEA.MI"	"TALEA GROUP"	21551
"2025-01-22 13:56:40"	"GRAL.MI"	"GRIFAL"	21500
"2025-01-22 16:35:20"	"GPI.MI"	"GPI"	20954
"2025-01-22 16:35:08"	"ARN.MI"	"ALERION"	20432
"2025-01-22 16:35:18"	"UD.MI"	"UNIDATA"	20246
"2025-01-22 16:35:26"	"MIT.MI"	"MITTEL"	19543
"2025-01-22 16:24:09"	"MFT.MI"	"MATICA FINTEC"	18900
"2025-01-22 16:28:35"	"IEG.MI"	"ITALIAN EXHIBITION GROUP"	17787
"2025-01-22 16:35:28"	"TXT.MI"	"TXT E-SOLUTIONS"	16622
"2025-01-22 16:35:12"	"ITM.MI"	"ITALMOBILIARE"	15932
"2025-01-22 16:35:04"	"LUVE.MI"	"LUVE"	15058
"2025-01-22 15:13:05"	"SOS.MI"	"SOSTRAVEL.COM"	14750
"2025-01-22 16:35:01"	"MOL.MI"	"MUTUIONLINE"	14565
"2025-01-22 16:35:06"	"BFG.MI"	"B.F"	14449
"2025-01-22 13:36:04"	"DGT.MI"	"DIGITOUCH"	14000
"2025-01-22 16:28:31"	"PLN.MI"	"PLANETEL"	13750
"2025-01-22 16:35:13"	"IWB.MI"	"ITALIAN WINE BRANDS"	13695
"2025-01-22 15:11:17"	"FUM.MI"	"FRANCHI UMBERTO MARMI"	13000
"2025-01-22 16:35:16"	"CALT.MI"	"CALTAGIRONE"	11251
"2025-01-22 16:35:05"	"WIIT.MI"	"WIIT"	10739
"2025-01-22 15:39:25"	"RAT.MI"	"RATTI"	10272
"2025-01-22 14:00:29"	"AMB.MI"	"AMBROMOBILIARE"	10200
"2025-01-22 16:35:23"	"B.MI"	"BASTOGI SPA"	10031
"2025-01-22 15:19:15"	"CLABO.MI"	"CLABO"	10000
"2025-01-22 10:45:29"	"GEL.MI"	"GEL"	10000
