"rrg"	"ticker"	"name"	"date"	"rclose"	"RSI"
1	"GSP.MI"	"GAS PLUS"	2025-09-22	2.93	50
1	"HI.MI"	"HEALTH ITALIA"	2025-09-22	120.9	42.8571428571429
1	"IEG.MI"	"ITALIAN EXHIBITION GROUP"	2025-09-22	4.17	64.2857142857143
1	"IG.MI"	"ITALGAS"	2025-09-22	2.99	57.1428571428571
1	"IGD.MI"	NA	2025-09-22	1.64	64.2857142857143
1	"IGV.MI"	"I GRANDI VIAGGI"	2025-09-22	1.23	50
1	"ILP.MI"	"ILPRA"	2025-09-22	2.72	42.8571428571429
1	"IRE.MI"	"IREN"	2025-09-22	1.27	78.5714285714286
1	"ISP.MI"	"INTESA SANPAOLO"	2025-09-22	2.67	64.2857142857143
1	"ITW.MI"	"IT WAY"	2025-09-22	0.66	57.1428571428571
1	"JUVE.MI"	"JUVENTUS FC"	2025-09-22	1.42	57.1428571428571
1	"LUVE.MI"	"LUVE"	2025-09-22	17.08	64.2857142857143
1	"MAIRE.MI"	"MAIRE"	2025-09-22	6.01	64.2857142857143
1	"MAPS.MI"	"MAPS"	2025-09-22	1.63	50
1	"MB.MI"	"MEDIOBANCA"	2025-09-22	10.2	50
1	"MOL.MI"	"MUTUIONLINE"	2025-09-22	21.22	50
1	"NUS.MI"	"NUSCO"	2025-09-22	0.64	50
1	"NWL.MI"	"NEWLAT FOOD"	2025-09-22	12.62	35.7142857142857
1	"OLI.MI"	"OLIDATA"	2025-09-22	1.38	50
1	"OMER.MI"	"OMER"	2025-09-22	2.81	42.8571428571429
1	"ORS.MI"	"ORSERO"	2025-09-22	9.31	71.4285714285714
1	"OS.MI"	"OFFICINA STELLARE"	2025-09-22	8.61	42.8571428571429
1	"OVS.MI"	"OVS"	2025-09-22	2.03	71.4285714285714
1	"PIA.MI"	"PIAGGIO"	2025-09-22	0.97	50
1	"PLC.MI"	"PLC"	2025-09-22	1.04	57.1428571428571
1	"PRY.MI"	"PRYSMIAN"	2025-09-22	40.34	85.7142857142857
1	"PST.MI"	"POSTE ITALIANE"	2025-09-22	9.9	57.1428571428571
1	"SIT.MI"	"SIT"	2025-09-22	1.04	57.1428571428571
1	"SOL.MI"	"SOL"	2025-09-22	25.82	42.8571428571429
1	"SPM.MI"	"SAIPEM"	2025-09-22	1.16	57.1428571428571
1	"SPN.MI"	"SPINDOX"	2025-09-22	7.51	28.5714285714286
1	"SRG.MI"	"SNAM"	2025-09-22	2.47	64.2857142857143
1	"TGYM.MI"	"TECHNOGYM"	2025-09-22	6.27	64.2857142857143
1	"TIT.MI"	"TELECOM ITALIA"	2025-09-22	0.22	78.5714285714286
1	"TNXT.MI"	"TINEXTA"	2025-09-22	7.27	57.1428571428571
1	"TRN.MI"	"TERNA"	2025-09-22	4.12	64.2857142857143
1	"UCG.MI"	"UNICREDIT"	2025-09-22	31.86	57.1428571428571
1	"UNI.MI"	"UNIPOL"	2025-09-22	8.83	64.2857142857143
1	"WBD.MI"	"WEBUILD"	2025-09-22	1.82	57.1428571428571
1	"WBS.MI"	"WEBSOLUTE"	2025-09-22	0.8	57.1428571428571
1	"WIIT.MI"	"WIIT"	2025-09-22	9.36	64.2857142857143
-1	"CFM.MI"	"CROWDFUNDME"	2025-09-19	0.63	78.5714285714286
-1	"CLABO.MI"	"CLABO"	2025-09-19	0.54	78.5714285714286
-1	"ENI.MI"	"ENI"	2025-09-19	7.25	42.8571428571429
-1	"EPH.MI"	"E.P.H"	2025-09-19	0.05	100
-1	"ESAU.MI"	"ESAUTOMOTION"	2025-09-19	1.69	57.1428571428571
-1	"EUK.MI"	"EUKEDOS"	2025-09-19	0.35	71.4285714285714
-1	"FARM.MI"	"H-FARM"	2025-09-19	0.09	100
-1	"FVI.MI"	"FERVI"	2025-09-19	8.19	57.1428571428571
-1	"ILLA.MI"	"ILLA"	2025-09-19	0	100
-1	"MQSPA.MI"	"MEGLIOQUESTO"	2025-09-19	0.13	100
-1	"MTVFR.MI"	"MONDO TV FRANCE"	2025-09-19	0.02	100
-1	"NSP.MI"	"NEOSPERIENCE"	2025-09-19	0.21	100
-1	"OSA.MI"	"OSAI AUTOMATION SYSTEM"	2025-09-19	0.17	100
-1	"SCK.MI"	"SCIUKER FRAMES"	2025-09-19	0.49	92.8571428571429
-1	"SGC.MI"	"SG COMPANY"	2025-09-19	0.17	92.8571428571429
-1	"TALEA.MI"	"TALEA GROUP"	2025-09-19	2.43	42.8571428571429
-1	"TD.MI"	"TRENDEVICE"	2025-09-19	0.03	100
-1	"TYA.MI"	"TOSCANA AEROPORTI"	2025-09-19	8.18	57.1428571428571
-1	"VE.MI"	"VISIBILIA EDITORE"	2025-09-19	0.01	100
0	"LUVE.MI"	"LUVE"	2025-09-19	17.49	64.2857142857143
1	"ABP.MI"	"A.B.P. NOCIVELLI"	2025-09-19	3.55	42.8571428571429
1	"BEC.MI"	"B&C SPEAKERS"	2025-09-19	8.23	42.8571428571429
1	"LMG.MI"	"LUCISANO MEDIA GROUP"	2025-09-19	0.53	78.5714285714286
1	"PWS.MI"	"POWERSOFT"	2025-09-19	8.6	50
1	"U24.MI"	"UCAPITAL24"	2025-09-19	0.24	78.5714285714286
-1	"DBA.MI"	"DBA GROUP"	2025-09-18	2.16	50
-1	"ENEL.MI"	"ENEL"	2025-09-18	3.8	57.1428571428571
0	"DOX.MI"	"DOXEE"	2025-09-18	1.65	78.5714285714286
0	"SRG.MI"	"SNAM"	2025-09-18	2.46	57.1428571428571
1	"ILTY.MI"	"ILLIMITY BANK"	2025-09-18	1.98	50
-1	"CELL.MI"	"CELLULARLINE"	2025-09-17	1.34	42.8571428571429
-1	"SIT.MI"	"SIT"	2025-09-17	1.07	57.1428571428571
0	"FIC.MI"	"FIRST CAPITAL"	2025-09-17	9.59	50
0	"PTR.MI"	"PATTERN"	2025-09-17	2.1	50
-1	"ASC.MI"	"ASCOPIAVE"	2025-09-16	1.48	42.8571428571429
0	"FF.MI"	"FINE FOODS & PHARMACEUTICALS NTM"	2025-09-16	3.57	42.8571428571429
0	"SCM.MI"	"SOLUTIONS CAPITAL MANAGEMENT SIM"	2025-09-15	1.67	78.5714285714286
0	"TGYM.MI"	"TECHNOGYM"	2025-09-15	6.23	57.1428571428571
1	"LDO.MI"	"LEONARDO"	2025-09-15	25.22	71.4285714285714
