"rrg"	"ticker"	"sector"	"name"	"marginabile"	"last_day_score"	"last_day_volume"	"date_last_swing"	"lo3"	"date_last_change"
"21"	1	"BMPS.MI"	"Finance"	"BANCA MONTE PASCHI SIENA"	NA	3	12604005	"2024-04-16 07:00:00"	3.94	"2024-04-23 07:00:00"
"22"	1	"BPE.MI"	"Finance"	"BPER BANCA"	"si"	3	14146133	"2023-12-21 08:00:00"	3	"2024-03-12 08:00:00"
"23"	1	"UNI.MI"	"Finance"	"UNIPOL"	"si"	3	1016941	"2024-06-14 07:00:00"	8.73	"2024-02-21 08:00:00"
"24"	1	"ISP.MI"	"Finance"	"INTESA SANPAOLO"	"si"	3	65414626	"2024-06-14 07:00:00"	3.26	"2023-11-17 08:00:00"
"25"	1	"PWS.MI"	"Electronic Technology"	"POWERSOFT"	NA	3	7000	"2024-04-23 07:00:00"	13.2	"2023-04-17 07:00:00"
"26"	1	"PRY.MI"	"Producer Manufacturing"	"PRYSMIAN"	"si"	3	818389	"2024-01-17 08:00:00"	39.74	"2022-03-22 08:00:00"
"27"	1	"ELES.MI"	"Commercial Services"	"ELES"	NA	3	26000	"2024-06-21 07:00:00"	1.8	NA
"28"	1	"CLI.MI"	"Consumer Non-Durables"	"CENTRALE DEL LATTE D'ITALIA"	NA	2	1601	"2024-06-14 07:00:00"	2.6	"2024-06-17 07:00:00"
"29"	1	"NWL.MI"	"Consumer Non-Durables"	"NEWLAT FOOD"	NA	2	90086	"2023-03-15 08:00:00"	4.44	"2024-06-14 07:00:00"
"30"	1	"CIRC.MI"	"Commercial Services"	"CIRCLE"	NA	2	10230	"2024-04-03 07:00:00"	6.32	"2024-06-11 07:00:00"
"31"	1	"MFEB.MI"	NA	NA	NA	2	338278	"2024-03-05 08:00:00"	2.9	"2024-06-03 07:00:00"
"32"	1	"PVN.MI"	"Producer Manufacturing"	"PIOVAN"	NA	2	20888	"2024-03-19 08:00:00"	9.8	"2024-05-24 07:00:00"
"33"	1	"BAMI.MI"	"Finance"	"BANCO BPM"	"si"	2	3366032	"2023-03-24 08:00:00"	3.31	"2024-05-20 07:00:00"
"34"	1	"TOD.MI"	"Consumer Non-Durables"	"TOD'S"	NA	2	0	"2024-01-17 08:00:00"	30.16	"2024-05-13 07:00:00"
"35"	1	"CE.MI"	"Finance"	"CREDEM"	NA	2	137413	"2023-10-26 07:00:00"	7.32	"2024-05-09 07:00:00"
"36"	1	"BPSO.MI"	"Finance"	"BCA POP SONDRIO"	NA	2	968658	"2023-05-31 07:00:00"	3.47	"2024-04-18 07:00:00"
"37"	1	"PIRC.MI"	"Consumer Durables"	"PIRELLI & C"	NA	2	1660210	"2023-03-20 08:00:00"	4.24	"2024-04-08 07:00:00"
"38"	1	"FM.MI"	"Commercial Services"	"FIERA MILANO"	NA	2	91930	"2024-06-14 07:00:00"	3.43	"2024-02-29 08:00:00"
"39"	1	"MAIRE.MI"	"Industrial Services"	"MAIRE"	"si"	2	280418	"2024-02-07 08:00:00"	4.64	"2024-02-21 08:00:00"
"40"	1	"SPM.MI"	"Industrial Services"	"SAIPEM"	"si"	2	57182859	"2024-06-14 07:00:00"	1.98	"2024-01-26 08:00:00"
"41"	1	"UCG.MI"	"Finance"	"UNICREDIT"	"si"	2	7849839	"2023-12-15 08:00:00"	23.48	"2024-01-05 08:00:00"
"42"	1	"SERI.MI"	"Utilities"	"SERI INDUSTRIAL"	NA	1	81688	"2024-05-03 07:00:00"	3.68	"2024-06-26 15:35:06"
"43"	1	"ANIM.MI"	"Finance"	"ANIMA HOLDING"	"si"	1	1260102	"2024-02-09 08:00:00"	4.03	"2024-06-11 07:00:00"
"44"	1	"ECNL.MI"	"Process Industries"	"AQUAFIL"	NA	1	57548	"2024-06-26 15:35:13"	2.94	"2024-05-31 07:00:00"
"45"	1	"S24.MI"	"Consumer Services"	"IL SOLE 24 ORE"	NA	1	4182	"2024-03-12 08:00:00"	0.61	"2024-05-24 07:00:00"
"46"	1	"RACE.MI"	"Consumer Durables"	"FERRARI"	"si"	1	275656	"2024-05-08 07:00:00"	369.4	"2024-05-02 07:00:00"
"47"	1	"REC.MI"	"Health Technology"	"RECORDATI ORD"	NA	1	169002	"2024-05-30 07:00:00"	47.28	"2024-03-22 08:00:00"
"48"	1	"CFV.MI"	"Distribution Services"	"CONFINVEST"	NA	1	3000	"2024-05-08 07:00:00"	1.55	NA
"49"	1	"SRS.MI"	"Energy Minerals"	"SARAS"	"si"	0	1256380	"2024-05-23 07:00:00"	1.61	"2024-06-19 07:00:00"
"50"	1	"CYB.MI"	"Technology Services"	"CYBEROO"	NA	0	7245	"2023-10-25 07:00:00"	2.3	"2024-06-19 07:00:00"
"51"	1	"GROW.MI"	"Technology Services"	"GROWENS"	NA	0	11882	"2024-05-13 07:00:00"	6.8	"2024-06-18 07:00:00"
"52"	1	"ENAV.MI"	"Transportation"	"ENAV"	"si"	0	335658	"2024-06-14 07:00:00"	3.62	"2024-06-10 07:00:00"
"53"	1	"OLI.MI"	"Electronic Technology"	"OLIDATA"	NA	-1	133471	"2024-06-12 07:00:00"	0.55	"2024-06-24 07:00:00"
"54"	1	"HER.MI"	"Utilities"	"HERA"	"si"	-1	1938937	"2024-06-26 15:35:19"	3.18	"2024-06-13 07:00:00"
"55"	1	"OS.MI"	"Electronic Technology"	"OFFICINA STELLARE"	NA	-1	1250	"2024-03-26 08:00:00"	9.65	"2022-03-14 08:00:00"
"56"	1	"SRI.MI"	"Commercial Services"	"SERVIZI ITALIA"	NA	-1	26876	"2023-11-08 08:00:00"	1.16	NA
"57"	1	"CMB.MI"	"Electronic Technology"	"CEMBRE"	NA	-2	7849	"2023-11-15 08:00:00"	33.4	"2024-06-18 07:00:00"
"58"	1	"BC.MI"	"Consumer Non-Durables"	"BRUNELLO CUCINELLI"	"si"	-2	73642	"2023-10-16 07:00:00"	68.65	"2024-06-07 07:00:00"
"59"	1	"SCM.MI"	"Finance"	"SOLUTIONS CAPITAL MANAGEMENT SIM"	NA	-2	120	"2024-06-18 07:00:00"	3.06	"2024-02-21 08:00:00"
"60"	1	"EXAI.MI"	"Technology Services"	"EXPERT.AI"	NA	-2	123795	"2024-06-11 07:00:00"	1.05	"2023-11-03 08:00:00"
"61"	1	"ALK.MI"	"Commercial Services"	"ALKEMY"	NA	-3	7616	"2024-05-21 07:00:00"	8.78	"2024-05-08 07:00:00"
"62"	1	"CEM.MI"	"Non-Energy Minerals"	"CEMENTIR HOLDING"	NA	-4	49034	"2024-02-16 08:00:00"	8.83	"2024-06-17 07:00:00"
"63"	1	"CDG.MI"	"Commercial Services"	"CASTA DIVA GROUP"	NA	-4	14000	"2024-06-14 07:00:00"	1.33	"2024-05-27 07:00:00"
