date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrg	rflr	rclg	rrg_ch
2021-03-17 08:00:00	3600	2.9	2.8	2.9	2.8	2.53	LFG.MI	2.48	2.48	2.39	2.39	3.35	2.06	1.0	1.0	1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0									0.0			3.06									0.0			3.21
2021-03-18 08:00:00	600	2.84	2.76	2.76	2.84	2.56	LFG.MI	2.35	2.42	2.35	2.42	3.35	2.06	1.0	1.0	1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0									0.0			3.06		2.35							0.0			3.21
2021-03-19 08:00:00	900	2.88	2.78	2.88	2.78	2.51	LFG.MI	2.47	2.47	2.38	2.38	3.35	2.06	1.0	1.0	1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0									0.0			3.06	2.47		2.47						0.0			3.21
2021-03-22 08:00:00	900	2.8	2.8	2.8	2.8	2.53	LFG.MI	2.39	2.39	2.39	2.39	3.35	2.06	1.0	1.0	1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0									0.0			3.06		2.39							0.0			3.21
2021-03-23 08:00:00	0	2.8	2.8	2.8	2.8	2.53	LFG.MI	2.41	2.41	2.41	2.41	3.35	2.06	1.0	1.0	1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0									0.0			3.06	2.41								0.0			3.21
2021-03-24 08:00:00	0	2.8	2.8	2.8	2.8	2.53	LFG.MI	2.4	2.4	2.4	2.4	3.35	2.06	1.0	1.0	1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0									0.0			3.06									0.0			3.21
2021-03-25 08:00:00	0	2.8	2.8	2.8	2.8	2.53	LFG.MI	2.4	2.4	2.4	2.4	3.35	2.06	1.0	1.0	1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0									0.0			3.06									0.0			3.21
2021-03-26 08:00:00	0	2.8	2.8	2.8	2.8	2.53	LFG.MI	2.38	2.38	2.38	2.38	3.35	2.06	1.0	1.0	1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0									0.0			3.06									0.0			3.21
2021-03-29 07:00:00	0	2.8	2.8	2.8	2.8	2.53	LFG.MI	2.38	2.38	2.38	2.38	3.35	2.06	1.0	1.0	1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0									0.0			3.06									0.0			3.21
2021-03-30 07:00:00	3600	2.74	2.68	2.68	2.72	2.45	LFG.MI	2.26	2.31	2.26	2.29	3.35	2.06	1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0		2.68							0.0			3.06		2.26							0.0			3.21
2021-03-31 07:00:00	300	2.8	2.8	2.8	2.8	2.53	LFG.MI	2.36	2.36	2.36	2.36	3.35	2.06	1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0	2.8								0.0			3.06	2.36								0.0			3.21
2021-04-01 07:00:00	600	2.8	2.8	2.8	2.8	2.53	LFG.MI	2.35	2.35	2.35	2.35	3.35	2.06	1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0									0.0			3.06									0.0			3.21
2021-04-06 07:00:00	9600	2.72	2.66	2.68	2.68	2.42	LFG.MI	2.24	2.28	2.23	2.24	3.35	2.06	1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	1.0	-1.0	-1.0		2.66							0.0			3.06		2.23							0.0			3.21
2021-04-07 07:00:00	300	2.74	2.74	2.74	2.74	2.47	LFG.MI	2.3	2.3	2.3	2.3	3.35	2.06	1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	1.0	-1.0	-1.0									0.0			3.06									0.0			3.21
2021-04-08 07:00:00	0	2.74	2.74	2.74	2.74	2.47	LFG.MI	2.31	2.31	2.31	2.31	3.35	2.06	1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	1.0	-1.0	-1.0	2.74								0.0			3.06									0.0			3.21
2021-04-09 07:00:00	0	2.74	2.74	2.74	2.74	2.47	LFG.MI	2.33	2.33	2.33	2.33	3.35	2.06	1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	1.0	-1.0	-1.0									0.0			3.06	2.33								0.0			3.21
2021-04-12 07:00:00	0	2.74	2.74	2.74	2.74	2.47	LFG.MI	2.32	2.32	2.32	2.32	3.35	2.06	1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	1.0	-1.0	-1.0									0.0			3.06									0.0			3.21
2021-04-13 07:00:00	6600	2.76	2.64	2.76	2.64	2.38	LFG.MI	2.33	2.33	2.23	2.23	3.35	2.06	1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	1.0	-1.0	-1.0									0.0			3.06									0.0			3.21
2021-04-14 07:00:00	0	2.64	2.64	2.64	2.64	2.38	LFG.MI	2.23	2.23	2.23	2.23	3.35	2.06	1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	1.0	-1.0	-1.0									0.0			3.06									0.0			3.21
2021-04-15 07:00:00	0	2.64	2.64	2.64	2.64	2.38	LFG.MI	2.23	2.23	2.23	2.23	3.35	2.06	1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	1.0	-1.0	-1.0									0.0			3.06									0.0			3.21
2021-04-16 07:00:00	0	2.64	2.64	2.64	2.64	2.38	LFG.MI	2.21	2.21	2.21	2.21	3.35	2.06	1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	1.0	-1.0	-1.0									0.0			3.06									0.0			3.21
2021-04-19 07:00:00	3600	2.64	2.6	2.62	2.6	2.35	LFG.MI	2.2	2.22	2.18	2.18	3.35	2.06	1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	1.0	-1.0	-1.0									0.0			3.06		2.18							0.0			3.21
2021-04-20 07:00:00	6000	2.58	2.54	2.58	2.54	2.29	LFG.MI	2.22	2.22	2.19	2.19	3.35	2.06	1.0	-1.0	-1.0	-1	-1.0	-1.0	1.0	1.0	-1.0	-1.0									0.0			3.06	2.22								0.0			3.21
2021-04-21 07:00:00	0	2.54	2.54	2.54	2.54	2.29	LFG.MI	2.18	2.18	2.18	2.18	3.35	2.11	1.0	-1.0	-1.0	-1	-1.0	-1.0	1.0	1.0	-1.0	-1.0		2.54							0.0			3.06		2.18							0.0			3.21
2021-04-22 07:00:00	900	2.64	2.6	2.6	2.64	2.38	LFG.MI	2.21	2.24	2.21	2.24	3.35	2.11	1.0	-1.0	-1.0	-1	-1.0	-1.0	1.0	1.0	-1.0	-1.0									0.0			3.06									0.0			3.21
2021-04-23 07:00:00	1200	2.68	2.66	2.66	2.68	2.42	LFG.MI	2.26	2.28	2.26	2.28	3.35	2.11	1.0	-1.0	-1.0	-1	-1.0	-1.0	1.0	1.0	-1.0	-1.0	2.68								0.0			3.06	2.28								0.0			3.21
2021-04-26 07:00:00	15300	2.68	2.52	2.64	2.56	2.31	LFG.MI	2.23	2.27	2.13	2.17	3.35	2.11	1.0	-1.0	-1.0	-1	-1.0	-1.0	1.0	1.0	-1.0	-1.0		2.52		2.52					0.0			3.06		2.13		2.13					0.0			3.21
2021-04-27 07:00:00	8700	2.7	2.6	2.6	2.66	2.4	LFG.MI	2.2	2.29	2.2	2.25	3.35	2.11	1.0	-1.0	-1.0	-1	-1.0	-1.0	1.0	1.0	-1.0	-1.0									0.0			3.06									0.0			3.21
2021-04-28 07:00:00	3600	2.78	2.7	2.74	2.7	2.44	LFG.MI	2.32	2.36	2.29	2.29	3.35	2.11	1.0	-1.0	1.0	-1	-1.0	-1.0	1.0	1.0	-1.0	-1.0	2.78								0.0			3.06	2.36								0.0			3.21
2021-04-29 07:00:00	600	2.74	2.66	2.74	2.66	2.4	LFG.MI	2.34	2.34	2.27	2.27	3.35	2.11	1.0	-1.0	1.0	-1	-1.0	-1.0	1.0	-1.0	1.0	-1.0		2.66							0.0			3.06		2.27							0.0			3.21
2021-04-30 07:00:00	46500	2.98	2.7	2.7	2.98	2.69	LFG.MI	2.32	2.56	2.32	2.56	3.35	2.11	1.0	1.0	1.0	1	-1.0	-1.0	1.0	-1.0	1.0	-1.0	2.98		2.98						0.0			3.06	2.56		2.56						0.0			3.21
2021-05-03 07:00:00	162300	3.16	2.72	2.98	2.72	2.45	LFG.MI	2.53	2.68	2.31	2.31	3.35	2.11	1.0	1.0	1.0	1	-1.0	-1.0	1.0	-1.0	1.0	-1.0									0.0			3.06									0.0			3.21
