volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
245666	0.34	0.33	0.34	0.34	0.3	CIR.MI	0.38	0.39	0.38	0.38			0.0		-1.0	0																		0.38										0.0	0.0	0.0	0.0	0.0	0.0		0.0
365880	0.34	0.34	0.34	0.34	0.3	CIR.MI	0.39	0.39	0.39	0.39			0.0		-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
159693	0.34	0.33	0.33	0.34	0.3	CIR.MI	0.38	0.39	0.38	0.39			0.0		-1.0	0																	0.39											0.0	0.0	0.0	0.0	0.0	0.0		0.0
194576	0.35	0.34	0.34	0.34	0.3	CIR.MI	0.39	0.4	0.38	0.38			0.0		-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
368157	0.35	0.33	0.34	0.34	0.3	CIR.MI	0.39	0.4	0.38	0.39			0.0		-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
251359	0.35	0.34	0.34	0.35	0.31	CIR.MI	0.37	0.38	0.37	0.38			0.0	-1.0	-1.0	0																		0.37		0.37		0.37						0.0	0.0	0.0	0.0	0.0	0.0		0.0
862216	0.37	0.34	0.35	0.35	0.31	CIR.MI	0.38	0.4	0.38	0.38			0.0	-1.0	-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
274645	0.38	0.36	0.36	0.37	0.33	CIR.MI	0.4	0.42	0.39	0.41			0.0	-1.0	-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
323205	0.38	0.37	0.37	0.38	0.34	CIR.MI	0.41	0.42	0.41	0.42			0.0	-1.0	-1.0	0																	0.42											0.0	0.0	0.0	0.0	0.0	0.0		0.0
361299	0.38	0.36	0.38	0.37	0.33	CIR.MI	0.42	0.42	0.4	0.42			0.0	-1.0	1.0	0																		0.4										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
833937	0.41	0.37	0.38	0.4	0.36	CIR.MI	0.42	0.46	0.42	0.45			0.0	1.0	1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
