volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
2077954	0.58	0.57	0.58	0.57	0.39	RCS.MI	0.65	0.66	0.65	0.65			0.0	1.0	1.0	1																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
5145635	0.61	0.57	0.58	0.57	0.38	RCS.MI	0.66	0.69	0.64	0.65			0.0	1.0	1.0	1																		0.69													0.0	0.0	0.0	0.0	0.0	0.0		0.0
2531035	0.58	0.56	0.57	0.58	0.39	RCS.MI	0.64	0.66	0.64	0.65			0.0	1.0	1.0	1																			0.64												0.0	0.0	0.0	0.0	0.0	0.0		0.0
2091533	0.59	0.57	0.58	0.58	0.39	RCS.MI	0.66	0.66	0.65	0.66			0.0	1.0	1.0	1																		0.66													0.0	0.0	0.0	0.0	0.0	0.0		0.0
1726771	0.59	0.57	0.57	0.58	0.39	RCS.MI	0.64	0.66	0.64	0.65			0.0	1.0	1.0	1																			0.64												0.0	0.0	0.0	0.0	0.0	0.0		0.0
6109221	0.61	0.59	0.59	0.61	0.41	RCS.MI	0.65	0.68	0.65	0.68			0.0	1.0	1.0	1																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
5222532	0.63	0.6	0.61	0.61	0.41	RCS.MI	0.68	0.7	0.66	0.68			0.0	1.0	1.0	1																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
857838	0.62	0.61	0.62	0.61	0.41	RCS.MI	0.7	0.7	0.69	0.69			0.0	1.0	1.0	1																		0.7													0.0	0.0	0.0	0.0	0.0	0.0		0.0
2983271	0.63	0.61	0.62	0.61	0.41	RCS.MI	0.69	0.7	0.68	0.68			0.0	1.0	1.0	1							0.63																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
1768784	0.62	0.6	0.61	0.6	0.4	RCS.MI	0.68	0.69	0.66	0.66			0.0	1.0	1.0	1																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2482623	0.6	0.58	0.6	0.58	0.39	RCS.MI	0.65	0.66	0.63	0.64			0.0	1.0	1.0	1																			0.63		0.63										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3819493	0.6	0.56	0.59	0.56	0.38	RCS.MI	0.65	0.67	0.63	0.63			0.0	1.0	1.0	1								0.56																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
5496478	0.6	0.55	0.57	0.59	0.4	RCS.MI	0.65	0.68	0.62	0.66			0.0	1.0	1.0	1																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
3363264	0.6	0.58	0.6	0.6	0.4	RCS.MI	0.69	0.7	0.67	0.69			0.0	1.0	1.0	1							0.6											0.7													0.0	0.0	0.0	0.0	0.0	0.0		0.0
2882204	0.6	0.58	0.59	0.59	0.4	RCS.MI	0.68	0.69	0.67	0.68			0.0	1.0	1.0	1																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
3396210	0.59	0.57	0.58	0.58	0.39	RCS.MI	0.68	0.68	0.66	0.68			0.0	1.0	1.0	1																			0.66												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
5256371	0.59	0.57	0.59	0.57	0.38	RCS.MI	0.68	0.68	0.66	0.66			0.0	1.0	1.0	1								0.57																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
8230761	0.6	0.57	0.57	0.6	0.41	RCS.MI	0.67	0.7	0.66	0.7			0.0	1.0	1.0	1																		0.7													0.0	0.0	0.0	0.0	0.0	0.0		0.0
9487961	0.6	0.58	0.6	0.59	0.4	RCS.MI	0.69	0.69	0.67	0.68			0.0	1.0	1.0	1																			0.67												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
9366365	0.6	0.57	0.58	0.6	0.41	RCS.MI	0.68	0.7	0.67	0.7			0.0	1.0	1.0	1																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
9603418	0.63	0.59	0.6	0.61	0.41	RCS.MI	0.7	0.74	0.69	0.72			0.0	1.0	1.0	1							0.63											0.74													0.0	0.0	0.0	0.0	0.0	0.0		0.0
3492166	0.62	0.58	0.61	0.6	0.4	RCS.MI	0.71	0.72	0.68	0.7			0.0	1.0	1.0	1								0.58											0.68												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
33075869	0.73	0.69	0.71	0.69	0.47	RCS.MI	0.83	0.85	0.81	0.81			0.0	1.0	1.0	1																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
23343098	0.73	0.7	0.7	0.71	0.48	RCS.MI	0.83	0.86	0.83	0.85			0.0	1.0	1.0	1																		0.86													0.0	0.0	0.0	0.0	0.0	0.0		0.0
9052842	0.73	0.71	0.71	0.72	0.48	RCS.MI	0.83	0.85	0.83	0.84			0.0	1.0	1.0	1																			0.83												0.0	0.0	0.0	0.0	0.0	0.0		0.0
9832366	0.73	0.71	0.71	0.73	0.49	RCS.MI	0.84	0.87	0.84	0.86			0.0	1.0	1.0	1																		0.87													0.0	0.0	0.0	0.0	0.0	0.0		0.0
7705095	0.74	0.72	0.73	0.72	0.49	RCS.MI	0.85	0.86	0.83	0.84			0.0	1.0	1.0	1							0.74												0.83												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4119815	0.73	0.72	0.73	0.72	0.49	RCS.MI	0.87	0.87	0.86	0.86			0.0	1.0	1.0	1								0.72										0.87													0.0	0.0	0.0	0.0	0.0	0.0		0.0
7253269	0.72	0.71	0.71	0.72	0.49	RCS.MI	0.83	0.83	0.83	0.83	0.87	0.47	0.0	1.0	1.0	1	1.0			1.0															0.83												0.0	0.0	0.0	0.0	0.0	0.0		0.0
9661648	0.74	0.71	0.72	0.73	0.49	RCS.MI	0.82	0.84	0.81	0.84	0.87	0.47	0.0	1.0	1.0	1	1.0			1.0																											0.0	0.0	0.0	0.0	0.0	0.0		0.0
