date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx	rtt_5020_chg1D	rtt_5020_chg1D_fx	rtt_5020_PL_cum	rtt_5020_returns	rtt_5020_log_returns	rtt_5020_cumul	rtt_5020_PL_cum_fx	rsma_50100150_chg1D	rsma_50100150_chg1D_fx	rsma_50100150_PL_cum	rsma_50100150_returns	rsma_50100150_log_returns	rsma_50100150_cumul	rsma_50100150_PL_cum_fx	rema_50100150_chg1D	rema_50100150_chg1D_fx	rema_50100150_PL_cum	rema_50100150_returns	rema_50100150_log_returns	rema_50100150_cumul	rema_50100150_PL_cum_fx	rrg_chg1D	rrg_chg1D_fx	rrg_PL_cum	rrg_returns	rrg_log_returns	rrg_cumul	rrg_PL_cum_fx
2020-12-08 08:00:00	205500	0.26	0.25	0.25	0.26	0.26	FARM.MI	0.24	0.24	0.24	0.24	0.36	0.22	-1.0	-1.0	-1.0	-1	-1.0	-1.0	1.0	-1.0	-1.0	1.0									-1.0			0.84								-1.0			1.09	-0.010000000000000009	-0.010000000000000009	-0.040000000000000036	-0.040000000000000036	-0.03922071315328133	0.45457294733330667	0.26	-0.040000000000000036	-0.010000000000000009	-0.010000000000000009	0.19999999999999965	-0.040000000000000036	-0.03922071315328133	0.235677592007701	0.19999999999999965	0.010000000000000009	0.010000000000000009	0.12000000000000038	0.040000000000000036	0.03922071315328133	-0.14415411071091733	0.12000000000000038	0.010000000000000009	0.010000000000000009	0.019999999999999907	0.040000000000000036	0.03922071315328133	-0.30466292415744234	0.019999999999999907	-0.010000000000000009	-0.010000000000000009	0.53	-0.040000000000000036	-0.03922071315328133	2.0384615384615343	0.53
2020-12-09 08:00:00	1111500	0.34	0.31	0.32	0.33	0.33	FARM.MI	0.3	0.32	0.29	0.31	0.36	0.22	-1.0	1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0	0.34		0.34			0.31			-1.0			0.31	0.32		0.32		0.32			-1.0			1.09	-0.07	-0.07	-0.11000000000000004	-0.26923076923076916	-0.23841102344499815	0.1460271706262415	0.34	-0.11000000000000004	-0.07	-0.07	0.12999999999999964	-0.26923076923076916	-0.23841102344499815	-0.026435836599993046	0.12999999999999964	0.07	0.07	0.1900000000000004	0.26923076923076916	0.23841102344499815	0.08626593640537417	0.1900000000000004	0.07	0.07	0.08999999999999991	0.26923076923076916	0.23841102344499815	-0.1174567883536769	0.08999999999999991	-0.07	-0.07	0.46	-0.26923076923076916	-0.23841102344499815	1.393939393939391	0.46
2020-12-10 08:00:00	1365000	0.32	0.29	0.31	0.29	0.29	FARM.MI	0.29	0.3	0.28	0.28	0.36	0.22	-1.0	1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0		0.29							-1.0			0.31								-1.0			1.09	0.040000000000000036	0.040000000000000036	-0.07	0.12121212121212133	0.12921173148000634	0.30409988381606823	0.34	-0.07	-0.040000000000000036	-0.040000000000000036	0.08999999999999961	-0.12121212121212133	-0.12921173148000634	-0.14444361398181216	0.08999999999999961	-0.040000000000000036	-0.040000000000000036	0.15000000000000036	-0.12121212121212133	-0.12921173148000634	-0.045402661946792544	0.15000000000000036	-0.040000000000000036	-0.040000000000000036	0.04999999999999988	-0.12121212121212133	-0.12921173148000634	-0.22443172309868586	0.04999999999999988	0.040000000000000036	0.040000000000000036	0.5	0.12121212121212133	0.12921173148000634	1.7241379310344795	0.5
2020-12-11 08:00:00	1240500	0.33	0.29	0.3	0.3	0.3	FARM.MI	0.28	0.32	0.28	0.28	0.36	0.22	-1.0	1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0	0.33								-1.0			0.31								-1.0			1.09	-0.010000000000000009	-0.010000000000000009	-0.08000000000000002	-0.034482758620689724	-0.033901551675681416	0.26062988768886575	0.34	-0.08000000000000002	0.010000000000000009	0.010000000000000009	0.09999999999999962	0.034482758620689724	0.033901551675681416	-0.11494166963635732	0.09999999999999962	0.010000000000000009	0.010000000000000009	0.16000000000000036	0.034482758620689724	0.033901551675681416	-0.012485512358750839	0.16000000000000036	0.010000000000000009	0.010000000000000009	0.05999999999999989	0.034482758620689724	0.033901551675681416	-0.19768798941243348	0.05999999999999989	-0.010000000000000009	-0.010000000000000009	0.49	-0.034482758620689724	-0.033901551675681416	1.6333333333333298	0.49
2020-12-14 08:00:00	522000	0.31	0.28	0.31	0.29	0.29	FARM.MI	0.29	0.29	0.26	0.27	0.36	0.22	-1.0	1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0									-1.0			0.31								-1.0			1.09	0.010000000000000009	0.010000000000000009	-0.07	0.033333333333333326	0.03390155167568134	0.304099883816068	0.34	-0.07	-0.010000000000000009	-0.010000000000000009	0.08999999999999961	-0.033333333333333326	-0.03390155167568134	-0.14444361398181216	0.08999999999999961	-0.010000000000000009	-0.010000000000000009	0.15000000000000036	-0.033333333333333326	-0.03390155167568134	-0.04540266194679243	0.15000000000000036	-0.010000000000000009	-0.010000000000000009	0.04999999999999988	-0.033333333333333326	-0.03390155167568134	-0.22443172309868575	0.04999999999999988	0.010000000000000009	0.010000000000000009	0.5	0.033333333333333326	0.03390155167568134	1.7241379310344795	0.5
2020-12-15 08:00:00	264000	0.3	0.28	0.29	0.28	0.28	FARM.MI	0.27	0.28	0.26	0.27	0.36	0.22	-1.0	1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0		0.28							-1.0			0.31								-1.0			1.09	0.009999999999999953	0.009999999999999953	-0.06000000000000005	0.0344827586206895	0.03509131981126994	0.3506748796666417	0.34	-0.06000000000000005	-0.009999999999999953	-0.009999999999999953	0.07999999999999965	-0.0344827586206895	-0.03509131981126994	-0.17394555832726677	0.07999999999999965	-0.009999999999999953	-0.009999999999999953	0.1400000000000004	-0.0344827586206895	-0.03509131981126994	-0.07831981153483392	0.1400000000000004	-0.009999999999999953	-0.009999999999999953	0.039999999999999925	-0.0344827586206895	-0.03509131981126994	-0.2511754567849378	0.039999999999999925	0.009999999999999953	0.009999999999999953	0.51	0.0344827586206895	0.03509131981126994	1.8214285714285672	0.51
2020-12-16 08:00:00	328500	0.3	0.28	0.28	0.28	0.28	FARM.MI	0.26	0.28	0.26	0.26	0.36	0.22	-1.0	1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0	0.3								-1.0			0.31								-1.0			1.09	-0.0	-0.0	-0.06000000000000005	-0.0	-0.0	0.3506748796666417	0.34	-0.06000000000000005	0.0	0.0	0.07999999999999965	0.0	0.0	-0.17394555832726677	0.07999999999999965	0.0	0.0	0.1400000000000004	0.0	0.0	-0.07831981153483392	0.1400000000000004	0.0	0.0	0.039999999999999925	0.0	0.0	-0.2511754567849378	0.039999999999999925	-0.0	-0.0	0.51	-0.0	-0.0	1.8214285714285672	0.51
2020-12-17 08:00:00	319500	0.29	0.27	0.28	0.27	0.27	FARM.MI	0.27	0.27	0.26	0.26	0.36	0.22	-1.0	1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0									-1.0			0.31								-1.0			1.09	0.010000000000000009	0.010000000000000009	-0.050000000000000044	0.0357142857142857	0.03636764417087483	0.4006998752098505	0.34	-0.050000000000000044	-0.010000000000000009	-0.010000000000000009	0.06999999999999965	-0.0357142857142857	-0.03636764417087483	-0.2034475026727215	0.06999999999999965	-0.010000000000000009	-0.010000000000000009	0.1300000000000004	-0.0357142857142857	-0.03636764417087483	-0.11123696112287551	0.1300000000000004	-0.010000000000000009	-0.010000000000000009	0.029999999999999916	-0.0357142857142857	-0.03636764417087483	-0.27791919047119007	0.029999999999999916	0.010000000000000009	0.010000000000000009	0.52	0.0357142857142857	0.03636764417087483	1.925925925925922	0.52
2020-12-18 08:00:00	144000	0.28	0.27	0.27	0.27	0.27	FARM.MI	0.26	0.26	0.25	0.25	0.36	0.22	-1.0	1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0									-1.0			0.31		0.25						-1.0			1.09	-0.0	-0.0	-0.050000000000000044	-0.0	-0.0	0.4006998752098505	0.34	-0.050000000000000044	0.0	0.0	0.06999999999999965	0.0	0.0	-0.2034475026727215	0.06999999999999965	0.0	0.0	0.1300000000000004	0.0	0.0	-0.11123696112287551	0.1300000000000004	0.0	0.0	0.029999999999999916	0.0	0.0	-0.27791919047119007	0.029999999999999916	-0.0	-0.0	0.52	-0.0	-0.0	1.925925925925922	0.52
2020-12-21 08:00:00	175500	0.27	0.26	0.27	0.26	0.26	FARM.MI	0.26	0.26	0.25	0.26	0.36	0.22	-1.0	1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0									-1.0			0.31	0.26							-1.0			1.09	0.010000000000000009	0.010000000000000009	-0.040000000000000036	0.03703703703703709	0.037740327982847086	0.45457294733330644	0.34	-0.040000000000000036	-0.010000000000000009	-0.010000000000000009	0.05999999999999964	-0.03703703703703709	-0.037740327982847086	-0.23294944701817633	0.05999999999999964	-0.010000000000000009	-0.010000000000000009	0.12000000000000038	-0.03703703703703709	-0.037740327982847086	-0.14415411071091722	0.12000000000000038	-0.010000000000000009	-0.010000000000000009	0.019999999999999907	-0.03703703703703709	-0.037740327982847086	-0.30466292415744234	0.019999999999999907	0.010000000000000009	0.010000000000000009	0.53	0.03703703703703709	0.037740327982847086	2.0384615384615343	0.53
