date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch
2022-12-27 08:00:00	1	0.96	0.96	0.96	0.96	0.93	GTH.MI	0.83	0.83	0.83	0.83	0.91	0.76	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	-1.0	-1.0	0.96								-1.0			1.12										-1.0			0.9
2022-12-28 08:00:00	2601	0.96	0.94	0.95	0.94	0.91	GTH.MI	0.83	0.83	0.82	0.82	0.91	0.76	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	-1.0	-1.0									-1.0			1.12										-1.0			0.9
2022-12-29 08:00:00	15118	0.95	0.92	0.94	0.95	0.92	GTH.MI	0.81	0.82	0.79	0.82	0.91	0.76	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	-1.0	-1.0									-1.0			1.12		0.79								-1.0			0.9
2022-12-30 08:00:00	13738	0.96	0.92	0.96	0.94	0.9	GTH.MI	0.84	0.84	0.8	0.82	0.91	0.76	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	-1.0	-1.0									-1.0			1.12	0.84									-1.0			0.9
2023-01-02 08:00:00	7023	0.94	0.92	0.92	0.94	0.9	GTH.MI	0.79	0.81	0.79	0.8	0.91	0.76	1.0	1.0	-1.0	0	1.0	1.0	1.0	1.0	-1.0	-1.0		0.92		0.92		0.92			1.0			0.92										-1.0			0.9
2023-01-03 08:00:00	26010	0.95	0.91	0.92	0.95	0.92	GTH.MI	0.78	0.81	0.77	0.81	0.91	0.76	1.0	-1.0	-1.0	0	1.0	1.0	1.0	1.0	-1.0	-1.0									1.0			0.92										-1.0			0.9
2023-01-04 08:00:00	11886	0.96	0.93	0.96	0.95	0.92	GTH.MI	0.8	0.8	0.77	0.79	0.91	0.76	1.0	-1.0	-1.0	0	1.0	1.0	1.0	1.0	-1.0	-1.0									1.0			0.92										-1.0			0.9
2023-01-05 08:00:00	23046	0.95	0.92	0.94	0.94	0.91	GTH.MI	0.78	0.79	0.77	0.78	0.91	0.76	1.0	-1.0	-1.0	0	-1.0	1.0	-1.0	1.0	-1.0	-1.0	0.95								1.0			0.92										-1.0			0.9
2023-01-06 08:00:00	8778	0.94	0.93	0.94	0.94	0.91	GTH.MI	0.77	0.78	0.77	0.78	0.91	0.76	1.0	-1.0	-1.0	0	-1.0	1.0	-1.0	1.0	-1.0	-1.0									1.0			0.92										-1.0			0.9
2023-01-09 08:00:00	2508	0.95	0.93	0.93	0.94	0.91	GTH.MI	0.76	0.78	0.76	0.77	0.91	0.76	-1.0	-1.0	-1.0	0	-1.0	1.0	-1.0	1.0	-1.0	-1.0									1.0			0.92										-1.0			0.9
2023-01-10 08:00:00	18236	0.94	0.92	0.93	0.94	0.91	GTH.MI	0.76	0.77	0.76	0.77	0.91	0.76	-1.0	-1.0	-1.0	0	-1.0	1.0	-1.0	1.0	-1.0	-1.0									1.0			0.92										-1.0			0.9
2023-01-11 08:00:00	3002	0.95	0.93	0.95	0.93	0.9	GTH.MI	0.77	0.77	0.75	0.75	0.91	0.75	-1.0	-1.0	-1.0	0	-1.0	1.0	-1.0	1.0	-1.0	-1.0		0.93							1.0			0.92										-1.0			0.9
2023-01-12 08:00:00	47006	0.94	0.92	0.93	0.94	0.91	GTH.MI	0.75	0.76	0.74	0.76	0.91	0.74	-1.0	-1.0	-1.0	0	-1.0	1.0	-1.0	1.0	-1.0	-1.0									1.0			0.92		0.74								-1.0			0.9
2023-01-13 08:00:00	23703	0.98	0.93	0.93	0.97	0.94	GTH.MI	0.75	0.79	0.75	0.78	0.91	0.74	-1.0	-1.0	-1.0	0	-1.0	1.0	-1.0	-1.0	-1.0	1.0	0.98		0.98						1.0			0.92	0.79									-1.0			0.9
2023-01-16 08:00:00	6304	0.97	0.94	0.97	0.94	0.91	GTH.MI	0.78	0.78	0.75	0.76	0.91	0.74	-1.0	-1.0	-1.0	0	-1.0	1.0	-1.0	-1.0	-1.0	1.0		0.94							1.0			0.92										-1.0			0.9
2023-01-17 08:00:00	12990	0.96	0.94	0.94	0.94	0.91	GTH.MI	0.75	0.77	0.75	0.75	0.91	0.74	-1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	-1.0	-1.0	1.0									1.0			0.92		0.75								-1.0			0.9
2023-01-18 08:00:00	4569	0.96	0.94	0.94	0.96	0.93	GTH.MI	0.75	0.77	0.75	0.76	0.91	0.74	-1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	-1.0	-1.0	1.0	0.96								1.0			0.92										-1.0			0.9
2023-01-19 08:00:00	14990	0.97	0.94	0.94	0.96	0.93	GTH.MI	0.76	0.79	0.76	0.78	0.91	0.74	-1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	-1.0	-1.0	1.0									1.0			0.92	0.79									-1.0			0.9
2023-01-20 08:00:00	13032	0.96	0.94	0.94	0.94	0.91	GTH.MI	0.76	0.77	0.76	0.76	0.91	0.74	-1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	-1.0	-1.0	1.0									1.0			0.92										-1.0			0.9
2023-01-23 08:00:00	11072	0.96	0.93	0.94	0.95	0.92	GTH.MI	0.76	0.77	0.75	0.76	0.91	0.74	-1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	-1.0	-1.0	1.0		0.93		0.93					1.0			0.92		0.75								-1.0			0.9
2023-01-24 08:00:00	2063	0.95	0.95	0.95	0.95	0.92	GTH.MI	0.76	0.76	0.76	0.76	0.91	0.74	-1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	-1.0	-1.0	1.0									1.0			0.92										-1.0			0.9
2023-01-25 08:00:00	512	0.96	0.96	0.96	0.96	0.92	GTH.MI	0.77	0.77	0.77	0.77	0.91	0.74	-1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	-1.0	-1.0	1.0	0.96								1.0			0.92	0.77									-1.0			0.9
2023-01-26 08:00:00	7321	0.96	0.95	0.95	0.96	0.93	GTH.MI	0.75	0.76	0.75	0.76	0.91	0.74	-1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	-1.0	-1.0	1.0									1.0			0.92										-1.0			0.9
2023-01-27 08:00:00	9578	0.96	0.94	0.95	0.94	0.91	GTH.MI	0.74	0.76	0.74	0.74	0.91	0.74	-1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	-1.0	-1.0	1.0									1.0			0.92										-1.0			0.9
2023-01-30 08:00:00	2100	0.95	0.94	0.95	0.94	0.91	GTH.MI	0.75	0.75	0.74	0.74	0.91	0.74	-1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	-1.0	-1.0	1.0		0.94							1.0			0.92										-1.0			0.9
2023-01-31 08:00:00	2300	0.96	0.94	0.94	0.96	0.93	GTH.MI	0.73	0.75	0.73	0.75	0.91	0.73	-1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	-1.0	-1.0	1.0									1.0			0.92										-1.0			0.9
2023-02-01 08:00:00	45181	0.97	0.93	0.93	0.94	0.91	GTH.MI	0.72	0.76	0.72	0.73	0.91	0.72	-1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	-1.0	-1.0	1.0	0.97								1.0			0.92										-1.0			0.9
2023-02-02 08:00:00	37591	0.97	0.94	0.95	0.94	0.91	GTH.MI	0.72	0.74	0.72	0.72	0.91	0.72	-1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	-1.0	1.0	-1.0									1.0			0.92										-1.0			0.9
2023-02-03 08:00:00	21707	0.95	0.93	0.94	0.95	0.92	GTH.MI	0.72	0.73	0.72	0.73	0.91	0.72	-1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	-1.0	1.0	-1.0		0.93		0.93					1.0			0.92		0.72		0.72						-1.0			0.9
2023-02-06 08:00:00	42180	0.97	0.93	0.95	0.95	0.92	GTH.MI	0.73	0.75	0.71	0.73	0.91	0.71	-1.0	-1.0	-1.0	0	-1.0	-1.0	1.0	-1.0	1.0	-1.0									1.0			0.92										-1.0			0.9
