volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
152149935	1.0	0.94	0.94	1.0	0.95	TIT.MI	1.07	1.14	1.06	1.13			0.0		-1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
203425603	1.03	1.0	1.0	1.02	0.97	TIT.MI	1.13	1.17	1.13	1.16			0.0		-1.0	0							1.03													1.17											0.0	0.0	0.0	0.0	0.0	0.0		0.0
111695914	1.03	0.97	1.03	0.98	0.93	TIT.MI	1.18	1.18	1.12	1.13			0.0		1.0	0																					1.12										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
116424881	1.01	0.96	0.98	1.0	0.95	TIT.MI	1.13	1.16	1.11	1.15			0.0		1.0	0								0.96																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
185231007	1.05	1.01	1.04	1.01	0.96	TIT.MI	1.19	1.2	1.15	1.15			0.0		1.0	0							1.05		1.05											1.2		1.2		1.2							0.0	0.0	0.0	0.0	0.0	0.0		0.0
121718600	1.05	0.99	1.01	0.99	0.94	TIT.MI	1.16	1.21	1.13	1.13			0.0		1.0	0								0.99																					1.21		-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
109878068	1.04	1.0	1.0	1.04	0.99	TIT.MI	1.1	1.14	1.09	1.14			0.0		1.0	0																					1.09										0.0	0.0	0.0	0.0	0.0	0.0		0.0
64963058	1.06	1.02	1.05	1.03	0.98	TIT.MI	1.15	1.16	1.12	1.13			0.0		1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
97282315	1.05	1.02	1.03	1.05	1.0	TIT.MI	1.14	1.16	1.13	1.16			0.0		1.0	0							1.05																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
57953159	1.05	1.03	1.04	1.03	0.98	TIT.MI	1.16	1.17	1.14	1.14			0.0		1.0	0																				1.17											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
97068180	1.06	1.01	1.06	1.01	0.96	TIT.MI	1.18	1.18	1.13	1.13			0.0		1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
72991700	1.03	1.01	1.01	1.01	0.96	TIT.MI	1.13	1.15	1.12	1.13			0.0		1.0	0								1.01													1.12										0.0	0.0	0.0	0.0	0.0	0.0		0.0
96943751	1.05	1.02	1.03	1.04	0.99	TIT.MI	1.14	1.17	1.13	1.15			0.0		1.0	0							1.05																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
75182378	1.05	1.01	1.04	1.05	1.0	TIT.MI	1.15	1.16	1.12	1.16			0.0		1.0	0																				1.16											0.0	0.0	0.0	0.0	0.0	0.0		0.0
79568516	1.05	1.0	1.04	1.01	0.96	TIT.MI	1.17	1.18	1.13	1.13			0.0		1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
118570107	1.01	0.96	1.0	0.97	0.92	TIT.MI	1.15	1.15	1.09	1.11			0.0		1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
126136669	0.99	0.94	0.98	0.96	0.91	TIT.MI	1.12	1.13	1.07	1.09			0.0		1.0	0								0.94																							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
90760341	0.99	0.95	0.96	0.95	0.91	TIT.MI	1.09	1.12	1.07	1.08			0.0		1.0	0							0.99																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
93817366	0.97	0.94	0.95	0.95	0.9	TIT.MI	1.09	1.11	1.07	1.08			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
146092212	0.94	0.9	0.94	0.92	0.87	TIT.MI	1.09	1.1	1.05	1.07			0.0		-1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
133811412	0.91	0.88	0.91	0.88	0.84	TIT.MI	1.07	1.07	1.03	1.03			0.0		-1.0	0																					1.03										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
