date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch
2016-03-11 08:00:00	118250	46.49	45.16	45.9	45.36	40.52	DIA.MI	50.12	50.76	49.31	49.53					-1.0	0								45.16												49.31		49.31		49.31							
2016-03-14 08:00:00	59686	46.68	45.55	45.9	46.67	41.69	DIA.MI	50.14	50.99	49.75	50.98					-1.0	0							46.68																								
2016-03-15 08:00:00	39106	46.52	45.41	46.24	46.0	41.09	DIA.MI	51.09	51.4	50.17	50.83					-1.0	0																			51.4												
2016-03-16 08:00:00	51747	46.0	45.24	45.95	45.53	40.67	DIA.MI	50.86	50.92	50.08	50.4					-1.0	0																															
2016-03-17 08:00:00	53754	45.65	44.5	45.53	44.92	40.13	DIA.MI	50.73	50.87	49.58	50.05					-1.0	0								44.5		44.5										49.58											
2016-03-18 08:00:00	99139	45.81	44.57	44.79	45.48	40.63	DIA.MI	49.9	51.04	49.65	50.67					-1.0	0																															
2016-03-21 08:00:00	62232	45.89	45.21	45.89	45.68	40.81	DIA.MI	50.89	50.89	50.14	50.66					-1.0	0							45.89												50.89												
2016-03-22 08:00:00	71459	45.81	44.75	45.7	45.17	40.35	DIA.MI	50.67	50.8	49.62	50.09					-1.0	0								44.75												49.62											
2016-03-23 08:00:00	54272	45.99	45.07	45.07	45.8	40.91	DIA.MI	50.61	51.65	50.61	51.43					-1.0	0							45.99																								
2016-03-24 08:00:00	58510	45.96	45.18	45.96	45.5	40.64	DIA.MI	52.46	52.46	51.57	51.93					-1.0	0								45.18																							
2016-03-29 07:00:00	48377	45.99	45.0	45.19	45.88	40.98	DIA.MI	51.56	52.47	51.34	52.35					-1.0	0																															
2016-03-30 07:00:00	415378	51.2	48.0	48.79	50.0	44.66	DIA.MI	55.05	57.77	54.16	56.42					1.0	1																															
2016-03-31 07:00:00	128937	51.4	49.52	49.52	50.75	45.33	DIA.MI	56.67	58.82	56.67	58.08					1.0	1																															
2016-04-01 07:00:00	210539	53.85	50.7	50.7	51.35	45.87	DIA.MI	59.13	62.81	59.13	59.89				1.0	1.0	1							53.85		53.85																						
2016-04-04 07:00:00	75333	52.3	51.2	51.5	52.0	46.45	DIA.MI	60.54	61.48	60.18	61.12				1.0	1.0	1																															
2016-04-05 07:00:00	64536	52.6	51.3	51.8	51.45	45.96	DIA.MI	62.78	63.74	62.17	62.35				1.0	1.0	1								51.3											63.74												
2016-04-06 07:00:00	68564	52.15	51.4	52.0	51.8	46.27	DIA.MI	62.54	62.72	61.81	62.29				1.0	1.0	1																				61.81											
2016-04-07 07:00:00	102885	53.8	51.75	52.2	53.1	47.43	DIA.MI	64.35	66.33	63.8	65.46				1.0	1.0	1							53.8												66.33		66.33										
