volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
25557	18.12	17.86	18.0	17.86	13.66	MARR.MI	20.05	20.19	19.9	19.9			0.0		-1.0	0							18.12												20.19													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
40701	18.18	17.5	18.18	17.58	13.45	MARR.MI	20.16	20.16	19.41	19.5			0.0		-1.0	0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
69833	17.71	17.01	17.66	17.28	13.22	MARR.MI	19.58	19.64	18.86	19.16			0.0		-1.0	0																				18.86												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
62648	17.46	16.92	17.28	17.13	13.1	MARR.MI	19.41	19.61	19.0	19.24			0.0		-1.0	0								16.92																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
34422	17.66	17.06	17.06	17.62	13.48	MARR.MI	19.47	20.16	19.47	20.11			0.0		-1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
33307	17.76	17.24	17.44	17.6	13.46	MARR.MI	19.9	20.26	19.67	20.08			0.0		-1.0	0																			20.26													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
28057	17.8	17.42	17.42	17.59	13.45	MARR.MI	19.66	20.09	19.66	19.85			0.0		-1.0	0																				19.66												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
17567	17.7	17.42	17.65	17.7	13.54	MARR.MI	20.2	20.26	19.94	20.26			0.0		-1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
78881	18.3	17.41	17.6	18.25	13.96	MARR.MI	20.53	21.34	20.31	21.29			0.0		1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
38853	18.41	18.11	18.25	18.41	14.08	MARR.MI	21.45	21.64	21.29	21.64			0.0		1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
