volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
84735	0.61	0.56	0.56	0.58	0.58	ZEST.MI	0.69	0.75	0.69	0.72			0.0	1.0	1.0	1																			0.75		0.75								0.0	0.0	0.0	0.0	0.0	0.0		0.0
138334	0.61	0.59	0.59	0.59	0.59	ZEST.MI	0.7	0.73	0.69	0.7			0.0	1.0	1.0	1							0.61																						0.0	0.0	0.0	0.0	0.0	0.0		0.0
67134	0.61	0.58	0.6	0.59	0.59	ZEST.MI	0.7	0.71	0.68	0.69			0.0	1.0	1.0	1								0.58												0.68									0.0	0.0	0.0	0.0	0.0	0.0		0.0
8170	0.59	0.58	0.59	0.59	0.59	ZEST.MI	0.7	0.7	0.69	0.7			0.0	1.0	1.0	1																			0.7										0.0	0.0	0.0	0.0	0.0	0.0		0.0
69076	0.61	0.58	0.58	0.61	0.61	ZEST.MI	0.66	0.69	0.66	0.69			0.0	1.0	1.0	1																				0.66		0.66							0.0	0.0	0.0	0.0	0.0	0.0		0.0
31072	0.61	0.59	0.6	0.61	0.61	ZEST.MI	0.67	0.69	0.67	0.69			0.0	1.0	1.0	1																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
27560	0.62	0.6	0.6	0.6	0.6	ZEST.MI	0.68	0.7	0.68	0.68			0.0	1.0	1.0	1																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
90324	0.64	0.6	0.61	0.63	0.63	ZEST.MI	0.69	0.72	0.68	0.72			0.0	1.0	1.0	1																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
86767	0.66	0.64	0.64	0.66	0.66	ZEST.MI	0.72	0.75	0.72	0.74			0.0	1.0	1.0	1																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
267406	0.71	0.65	0.66	0.69	0.69	ZEST.MI	0.73	0.79	0.72	0.77			0.0	1.0	1.0	1							0.71		0.71		0.71								0.79										0.0	0.0	0.0	0.0	0.0	0.0		0.0
82747	0.7	0.67	0.68	0.67	0.67	ZEST.MI	0.75	0.78	0.74	0.74			0.0	1.0	1.0	1																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
25490	0.68	0.66	0.68	0.67	0.67	ZEST.MI	0.76	0.76	0.73	0.75			0.0	1.0	1.0	1																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
6617	0.67	0.66	0.66	0.66	0.66	ZEST.MI	0.75	0.75	0.75	0.75			0.0	1.0	1.0	1																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
37299	0.67	0.65	0.66	0.67	0.67	ZEST.MI	0.74	0.74	0.72	0.74			0.0	1.0	1.0	1																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
6219	0.65	0.65	0.65	0.65	0.65	ZEST.MI	0.72	0.72	0.71	0.72			0.0	1.0	1.0	1								0.65												0.71									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
11748	0.68	0.66	0.66	0.67	0.67	ZEST.MI	0.73	0.74	0.72	0.73			0.0	1.0	1.0	1							0.68																						0.0	0.0	0.0	0.0	0.0	0.0		0.0
9482	0.68	0.66	0.67	0.67	0.67	ZEST.MI	0.74	0.75	0.74	0.75			0.0	1.0	1.0	1																			0.75										0.0	0.0	0.0	0.0	0.0	0.0		0.0
10885	0.68	0.65	0.68	0.66	0.66	ZEST.MI	0.76	0.76	0.73	0.74			0.0	1.0	1.0	1								0.65												0.73									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
64015	0.7	0.66	0.7	0.66	0.66	ZEST.MI	0.8	0.8	0.76	0.76			0.0	1.0	1.0	1							0.7												0.8		0.8		0.8				0.8		0.0	0.0	0.0	0.0	0.0	0.0		0.0
11787	0.66	0.66	0.66	0.66	0.66	ZEST.MI	0.76	0.76	0.76	0.76			0.0	1.0	1.0	1																				0.76									0.0	0.0	0.0	0.0	0.0	0.0		0.0
7081	0.67	0.66	0.66	0.67	0.67	ZEST.MI	0.76	0.77	0.76	0.77			0.0	1.0	1.0	1																			0.77										0.0	0.0	0.0	0.0	0.0	0.0		0.0
22700	0.65	0.63	0.64	0.65	0.65	ZEST.MI	0.75	0.75	0.73	0.75			0.0	1.0	1.0	1								0.63												0.73									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
19728	0.64	0.63	0.64	0.64	0.64	ZEST.MI	0.76	0.76	0.74	0.75			0.0	1.0	1.0	1																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
64788	0.68	0.65	0.66	0.67	0.67	ZEST.MI	0.76	0.78	0.75	0.77			0.0	1.0	1.0	1							0.68																						0.0	0.0	0.0	0.0	0.0	0.0		0.0
24333	0.67	0.64	0.67	0.66	0.66	ZEST.MI	0.79	0.79	0.75	0.77			0.0	1.0	1.0	1																			0.79										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
70425	0.68	0.63	0.67	0.65	0.65	ZEST.MI	0.78	0.8	0.74	0.77			0.0	1.0	1.0	1																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
8544	0.66	0.63	0.63	0.66	0.66	ZEST.MI	0.74	0.77	0.73	0.77			0.0	1.0	1.0	1																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
53867	0.64	0.63	0.63	0.64	0.64	ZEST.MI	0.74	0.75	0.73	0.75			0.0	1.0	1.0	0								0.63												0.73									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
8448	0.65	0.64	0.65	0.65	0.65	ZEST.MI	0.77	0.77	0.76	0.77			0.0	1.0	1.0	0							0.65												0.77										0.0	0.0	0.0	0.0	0.0	0.0		0.0
9256	0.65	0.63	0.63	0.63	0.63	ZEST.MI	0.74	0.77	0.74	0.74			0.0	1.0	1.0	0																													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
23817	0.64	0.63	0.64	0.64	0.64	ZEST.MI	0.75	0.75	0.74	0.75			0.0	1.0	1.0	0																													0.0	0.0	0.0	0.0	0.0	0.0		0.0
21190	0.65	0.62	0.64	0.62	0.62	ZEST.MI	0.74	0.76	0.72	0.72			0.0	1.0	1.0	0								0.62		0.62										0.72									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
58	0.64	0.62	0.62	0.64	0.64	ZEST.MI	0.74	0.76	0.74	0.76			0.0	1.0	1.0	0																			0.76										0.0	0.0	0.0	0.0	0.0	0.0		0.0
8799	0.64	0.63	0.64	0.63	0.63	ZEST.MI	0.74	0.74	0.73	0.73	0.8	0.47	0.0	1.0	1.0	0	1.0			1.0																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
33275	0.65	0.63	0.63	0.65	0.65	ZEST.MI	0.72	0.74	0.72	0.74	0.8	0.47	0.0	1.0	1.0	0	1.0			1.0																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
10621	0.65	0.64	0.65	0.65	0.65	ZEST.MI	0.73	0.74	0.72	0.74	0.8	0.47	0.0	1.0	1.0	0	1.0			1.0			0.65		0.65																				0.0	0.0	0.0	0.0	0.0	0.0		0.0
2141	0.65	0.63	0.64	0.65	0.65	ZEST.MI	0.73	0.74	0.72	0.74	0.8	0.47	0.0	1.0	1.0	0	1.0			1.0																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
8739	0.64	0.63	0.63	0.63	0.63	ZEST.MI	0.72	0.73	0.71	0.71	0.8	0.47	0.0	1.0	-1.0	0	1.0			1.0				0.63												0.71		0.71							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
19361	0.63	0.62	0.63	0.63	0.63	ZEST.MI	0.72	0.73	0.71	0.73	0.8	0.47	0.0	1.0	-1.0	0	1.0			1.0																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
8565	0.64	0.63	0.63	0.64	0.64	ZEST.MI	0.73	0.75	0.73	0.74	0.8	0.47	0.0	1.0	-1.0	0	1.0			1.0			0.64																						0.0	0.0	0.0	0.0	0.0	0.0		0.0
534	0.64	0.64	0.64	0.64	0.64	ZEST.MI	0.75	0.75	0.75	0.75	0.8	0.47	0.0	1.0	-1.0	0	1.0			1.0															0.75										0.0	0.0	0.0	0.0	0.0	0.0		0.0
9865	0.64	0.63	0.64	0.63	0.63	ZEST.MI	0.76	0.76	0.75	0.75	0.8	0.47	0.0	1.0	-1.0	0	1.0			1.0																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
8117	0.64	0.63	0.64	0.63	0.63	ZEST.MI	0.75	0.75	0.74	0.74	0.8	0.47	0.0	1.0	-1.0	0	1.0			1.0				0.63																					0.0	0.0	0.0	0.0	0.0	0.0		0.0
47259	0.65	0.63	0.64	0.63	0.63	ZEST.MI	0.74	0.74	0.72	0.72	0.8	0.47	0.0	1.0	-1.0	0	1.0			1.0																0.72									0.0	0.0	0.0	0.0	0.0	0.0		0.0
15753	0.64	0.61	0.63	0.64	0.64	ZEST.MI	0.73	0.74	0.71	0.74	0.8	0.47	0.0	1.0	-1.0	0	1.0			1.0																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
3202	0.64	0.64	0.64	0.64	0.64	ZEST.MI	0.74	0.74	0.74	0.74	0.8	0.47	0.0	1.0	-1.0	0	1.0			1.0			0.64																						0.0	0.0	0.0	0.0	0.0	0.0		0.0
6986	0.63	0.62	0.62	0.62	0.62	ZEST.MI	0.76	0.76	0.75	0.75	0.8	0.47	0.0	1.0	-1.0	0	1.0			1.0															0.76		0.76								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
47853	0.62	0.57	0.62	0.59	0.59	ZEST.MI	0.77	0.77	0.71	0.74	0.8	0.47	0.0	1.0	1.0	0	1.0			1.0																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
39197	0.59	0.58	0.58	0.58	0.58	ZEST.MI	0.73	0.76	0.73	0.74	0.8	0.47	0.0	1.0	1.0	0	1.0			1.0																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
95663	0.58	0.53	0.58	0.57	0.57	ZEST.MI	0.73	0.73	0.67	0.71	0.8	0.47	0.0	1.0	-1.0	-1	1.0			1.0																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
125095	0.56	0.52	0.54	0.54	0.54	ZEST.MI	0.69	0.71	0.66	0.69	0.8	0.47	0.0	1.0	-1.0	-1	1.0			1.0				0.52																					-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
67053	0.56	0.53	0.54	0.55	0.55	ZEST.MI	0.67	0.69	0.65	0.67	0.8	0.47	0.0	-1.0	-1.0	-1	1.0			1.0																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
182568	0.6	0.53	0.57	0.54	0.54	ZEST.MI	0.68	0.72	0.63	0.64	0.8	0.47	0.0	-1.0	-1.0	-1	1.0			1.0																0.63									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
157655	0.59	0.54	0.59	0.56	0.56	ZEST.MI	0.7	0.7	0.64	0.66	0.8	0.47	0.0	-1.0	-1.0	-1	1.0			1.0			0.59												0.7										0.0	0.0	0.0	0.0	0.0	0.0		0.0
52105	0.56	0.53	0.56	0.55	0.55	ZEST.MI	0.67	0.67	0.64	0.66	0.8	0.47	0.0	-1.0	-1.0	-1	1.0			1.0																									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
97658	0.56	0.54	0.56	0.54	0.54	ZEST.MI	0.64	0.64	0.62	0.63	0.8	0.47	0.0	-1.0	-1.0	-1	1.0			1.0																0.62		0.62							-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
115290	0.52	0.48	0.5	0.52	0.52	ZEST.MI	0.66	0.68	0.63	0.68	0.8	0.47	0.0	-1.0	-1.0	-1	1.0			1.0				0.48		0.48																			-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
42855	0.52	0.5	0.52	0.5	0.5	ZEST.MI	0.71	0.72	0.69	0.69	0.8	0.47	0.0	-1.0	-1.0	-1	1.0			1.0															0.72		0.72								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
69918	0.53	0.5	0.5	0.52	0.52	ZEST.MI	0.67	0.7	0.67	0.69	0.8	0.47	0.0	-1.0	-1.0	-1	1.0			1.0			0.53																						0.0	0.0	0.0	0.0	0.0	0.0		0.0
25925	0.53	0.51	0.51	0.53	0.53	ZEST.MI	0.66	0.69	0.66	0.68	0.8	0.47	0.0	-1.0	-1.0	-1	1.0			1.0																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
