volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
91306	0.27	0.26	0.26	0.27	0.27	BIA.MI	0.29	0.3	0.29	0.3			0.0		-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
25661	0.27	0.26	0.27	0.26	0.26	BIA.MI	0.31	0.31	0.29	0.29			0.0		-1.0	0																												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
106057	0.27	0.25	0.27	0.25	0.25	BIA.MI	0.31	0.31	0.28	0.28			0.0		-1.0	0																		0.28		0.28								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
260013	0.28	0.26	0.26	0.26	0.26	BIA.MI	0.29	0.31	0.29	0.29			0.0		-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
40895	0.27	0.26	0.26	0.27	0.27	BIA.MI	0.3	0.3	0.3	0.3			0.0		-1.0	0																	0.3											0.0	0.0	0.0	0.0	0.0	0.0		0.0
3559	0.27	0.26	0.26	0.27	0.27	BIA.MI	0.29	0.3	0.29	0.3			0.0		-1.0	0							0.27																					0.0	0.0	0.0	0.0	0.0	0.0		0.0
33994	0.27	0.26	0.26	0.27	0.27	BIA.MI	0.29	0.3	0.29	0.3			0.0		-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
22956	0.27	0.26	0.26	0.26	0.26	BIA.MI	0.29	0.3	0.29	0.29			0.0		-1.0	0								0.26										0.29										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
18879	0.27	0.26	0.26	0.27	0.27	BIA.MI	0.3	0.3	0.29	0.3			0.0		-1.0	0																	0.3											0.0	0.0	0.0	0.0	0.0	0.0		0.0
227928	0.28	0.26	0.26	0.27	0.27	BIA.MI	0.29	0.31	0.29	0.3			0.0		-1.0	0							0.28		0.28																			0.0	0.0	0.0	0.0	0.0	0.0		0.0
82183	0.27	0.26	0.27	0.27	0.27	BIA.MI	0.3	0.3	0.29	0.29			0.0		-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
106672	0.27	0.26	0.27	0.26	0.26	BIA.MI	0.29	0.29	0.28	0.28			0.0		-1.0	0																		0.28		0.28								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
37170	0.26	0.26	0.26	0.26	0.26	BIA.MI	0.3	0.3	0.29	0.29			0.0		-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
22122	0.26	0.26	0.26	0.26	0.26	BIA.MI	0.29	0.3	0.29	0.29			0.0		-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
41522	0.26	0.26	0.26	0.26	0.26	BIA.MI	0.3	0.3	0.3	0.3			0.0		-1.0	0																	0.3											0.0	0.0	0.0	0.0	0.0	0.0		0.0
26756	0.26	0.25	0.26	0.25	0.25	BIA.MI	0.3	0.3	0.29	0.29			0.0		-1.0	0																		0.29										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
32077	0.26	0.25	0.25	0.26	0.26	BIA.MI	0.29	0.3	0.29	0.3			0.0		-1.0	0																	0.3											0.0	0.0	0.0	0.0	0.0	0.0		0.0
46908	0.25	0.25	0.25	0.25	0.25	BIA.MI	0.29	0.3	0.29	0.29			0.0		-1.0	0								0.25										0.29										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
47845	0.26	0.25	0.25	0.26	0.26	BIA.MI	0.3	0.31	0.3	0.31			0.0		-1.0	0																	0.31											0.0	0.0	0.0	0.0	0.0	0.0		0.0
79512	0.27	0.25	0.27	0.25	0.25	BIA.MI	0.31	0.31	0.29	0.29			0.0		-1.0	0							0.27																					-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
21959	0.26	0.25	0.26	0.25	0.25	BIA.MI	0.3	0.3	0.3	0.3			0.0		-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
14481	0.26	0.25	0.26	0.25	0.25	BIA.MI	0.3	0.3	0.29	0.29			0.0		-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
21259	0.25	0.25	0.25	0.25	0.25	BIA.MI	0.29	0.29	0.29	0.29			0.0		-1.0	0																		0.29										0.0	0.0	0.0	0.0	0.0	0.0		0.0
21427	0.26	0.25	0.25	0.25	0.25	BIA.MI	0.29	0.3	0.29	0.29			0.0		-1.0	0								0.25		0.25																		0.0	0.0	0.0	0.0	0.0	0.0		0.0
23570	0.26	0.25	0.26	0.26	0.26	BIA.MI	0.3	0.3	0.29	0.3			0.0		-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
2055	0.26	0.25	0.25	0.26	0.26	BIA.MI	0.29	0.3	0.29	0.3			0.0		-1.0	0																												0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	0.26	0.26	0.26	0.26	0.26	BIA.MI	0.3	0.3	0.3	0.3			0.0		-1.0	0							0.26																					0.0	0.0	0.0	0.0	0.0	0.0		0.0
231	0.26	0.25	0.25	0.26	0.26	BIA.MI	0.29	0.3	0.29	0.3			0.0		-1.0	0								0.25																				0.0	0.0	0.0	0.0	0.0	0.0		0.0
18701	0.26	0.25	0.25	0.26	0.26	BIA.MI	0.3	0.31	0.3	0.31			0.0		-1.0	0							0.26										0.31											0.0	0.0	0.0	0.0	0.0	0.0		0.0
7189	0.26	0.25	0.25	0.26	0.26	BIA.MI	0.29	0.3	0.29	0.3	0.37	0.25	0.0		-1.0	0	-1.0			-1.0				0.25																				0.0	0.0	0.0	0.0	0.0	0.0		0.0
31433	0.26	0.25	0.25	0.26	0.26	BIA.MI	0.29	0.29	0.29	0.29	0.37	0.25	0.0		-1.0	0	-1.0			-1.0																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
29846	0.26	0.26	0.26	0.26	0.26	BIA.MI	0.29	0.3	0.29	0.29	0.37	0.25	0.0		-1.0	0	-1.0			-1.0														0.29										0.0	0.0	0.0	0.0	0.0	0.0		0.0
17489	0.26	0.26	0.26	0.26	0.26	BIA.MI	0.29	0.29	0.29	0.29	0.37	0.25	0.0		-1.0	0	-1.0			-1.0																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
1222967	0.3	0.25	0.26	0.3	0.3	BIA.MI	0.29	0.34	0.28	0.34	0.37	0.25	0.0	1.0	1.0	1	-1.0			-1.0																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
946408	0.31	0.28	0.31	0.29	0.29	BIA.MI	0.35	0.36	0.33	0.34	0.37	0.25	0.0	1.0	1.0	1	-1.0			-1.0			0.31																					-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
187790	0.3	0.28	0.28	0.29	0.29	BIA.MI	0.33	0.35	0.33	0.34	0.37	0.25	0.0	1.0	1.0	1	-1.0			-1.0																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
45595	0.3	0.28	0.3	0.28	0.28	BIA.MI	0.35	0.35	0.33	0.33	0.37	0.25	0.0	1.0	1.0	1	-1.0			-1.0				0.28	0.3																			-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
119471	0.3	0.28	0.28	0.29	0.29	BIA.MI	0.34	0.35	0.34	0.34	0.37	0.25	0.0	1.0	1.0	1	1.0			-1.0																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
177476	0.31	0.29	0.29	0.29	0.29	BIA.MI	0.35	0.36	0.34	0.34	0.37	0.25	0.0	1.0	1.0	1	1.0			-1.0			0.31										0.36		0.36									0.0	0.0	0.0	0.0	0.0	0.0		0.0
23802	0.3	0.29	0.3	0.29	0.29	BIA.MI	0.34	0.34	0.33	0.33	0.37	0.25	0.0	1.0	1.0	1	1.0			-1.0														0.33										0.0	0.0	0.0	0.0	0.0	0.0		0.0
51053	0.29	0.29	0.29	0.29	0.29	BIA.MI	0.33	0.34	0.33	0.33	0.37	0.25	0.0	1.0	1.0	1	1.0			-1.0																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
19313	0.29	0.29	0.29	0.29	0.29	BIA.MI	0.34	0.34	0.34	0.34	0.37	0.25	0.0	1.0	1.0	1	1.0			-1.0																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
42264	0.29	0.28	0.29	0.28	0.28	BIA.MI	0.35	0.35	0.33	0.34	0.37	0.25	0.0	1.0	1.0	1	1.0			-1.0																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
36010	0.28	0.27	0.28	0.27	0.27	BIA.MI	0.35	0.35	0.33	0.34	0.37	0.25	0.0	1.0	1.0	1	1.0			-1.0													0.35											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
42092	0.27	0.26	0.27	0.27	0.27	BIA.MI	0.34	0.34	0.33	0.34	0.37	0.25	0.0	1.0	1.0	1	1.0			-1.0																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
12539	0.27	0.27	0.27	0.27	0.27	BIA.MI	0.34	0.34	0.34	0.34	0.37	0.25	0.0	1.0	1.0	1	1.0			-1.0																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
77103	0.28	0.26	0.28	0.27	0.27	BIA.MI	0.35	0.35	0.33	0.34	0.37	0.25	0.0	1.0	1.0	1	1.0			-1.0																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
30722	0.27	0.26	0.27	0.27	0.27	BIA.MI	0.33	0.33	0.32	0.33	0.37	0.25	0.0	1.0	1.0	1	1.0			-1.0				0.26																				0.0	0.0	0.0	0.0	0.0	0.0		0.0
43617	0.28	0.26	0.27	0.27	0.27	BIA.MI	0.32	0.33	0.31	0.32	0.37	0.25	0.0	1.0	1.0	1	1.0			1.0														0.31										0.0	0.0	0.0	0.0	0.0	0.0		0.0
9903	0.28	0.28	0.28	0.28	0.28	BIA.MI	0.33	0.33	0.33	0.33	0.37	0.25	0.0	1.0	1.0	1	1.0			1.0			0.28										0.33			0.33								0.0	0.0	0.0	0.0	0.0	0.0		0.0
41241	0.28	0.26	0.27	0.26	0.26	BIA.MI	0.32	0.33	0.32	0.32	0.37	0.25	0.0	1.0	1.0	1	1.0			1.0																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
81155	0.28	0.27	0.27	0.27	0.27	BIA.MI	0.31	0.32	0.31	0.31	0.37	0.25	0.0	1.0	1.0	1	1.0			1.0														0.31										0.0	0.0	0.0	0.0	0.0	0.0		0.0
208158	0.27	0.22	0.26	0.26	0.26	BIA.MI	0.34	0.35	0.3	0.34	0.37	0.25	0.0	1.0	1.0	-1	1.0			1.0				0.22		0.22		0.22	1.0			0.22												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
129548	0.27	0.24	0.27	0.25	0.25	BIA.MI	0.37	0.37	0.33	0.35	0.37	0.25	0.0	1.0	1.0	-1	1.0			1.0									1.0			0.22	0.37		0.37									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
68722	0.26	0.25	0.25	0.25	0.25	BIA.MI	0.34	0.34	0.34	0.34	0.37	0.25	0.0	1.0	1.0	-1	1.0			1.0									1.0			0.22												0.0	0.0	0.0	0.0	0.0	0.0		0.0
51490	0.26	0.25	0.25	0.26	0.26	BIA.MI	0.33	0.34	0.33	0.34	0.37	0.25	0.0	1.0	1.0	-1	1.0			1.0			0.26						1.0			0.22												0.0	0.0	0.0	0.0	0.0	0.0		0.0
51697	0.26	0.25	0.25	0.26	0.26	BIA.MI	0.32	0.33	0.32	0.33	0.37	0.25	0.0	1.0	1.0	-1	1.0			1.0									1.0			0.22												0.0	0.0	0.0	0.0	0.0	0.0		0.0
65903	0.26	0.25	0.25	0.25	0.25	BIA.MI	0.32	0.33	0.32	0.32	0.37	0.25	0.0	1.0	1.0	-1	1.0			1.0				0.25					1.0			0.22		0.32										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
21118	0.26	0.25	0.26	0.26	0.26	BIA.MI	0.33	0.33	0.33	0.33	0.37	0.25	0.0	1.0	1.0	-1	1.0			1.0			0.26						1.0			0.22												0.0	0.0	0.0	0.0	0.0	0.0		0.0
41606	0.26	0.25	0.25	0.26	0.26	BIA.MI	0.33	0.34	0.33	0.34	0.37	0.26	0.0	1.0	1.0	-1	1.0			1.0									1.0			0.22												0.0	0.0	0.0	0.0	0.0	0.0		0.0
35192	0.26	0.25	0.25	0.25	0.25	BIA.MI	0.34	0.34	0.33	0.34	0.37	0.26	0.0	1.0	1.0	-1	1.0			1.0									1.0			0.22	0.34											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
26639	0.25	0.25	0.25	0.25	0.25	BIA.MI	0.33	0.34	0.33	0.34	0.37	0.26	0.0	1.0	1.0	-1	1.0			1.0				0.25					1.0			0.22												0.0	0.0	0.0	0.0	0.0	0.0		0.0
15242	0.25	0.25	0.25	0.25	0.25	BIA.MI	0.32	0.33	0.32	0.33	0.37	0.28	0.0	1.0	1.0	-1	1.0			1.0									1.0			0.22												0.0	0.0	0.0	0.0	0.0	0.0		0.0
20773	0.26	0.25	0.25	0.26	0.26	BIA.MI	0.32	0.33	0.32	0.33	0.37	0.28	0.0	1.0	1.0	-1	1.0			1.0									1.0			0.22												0.0	0.0	0.0	0.0	0.0	0.0		0.0
18323	0.26	0.25	0.25	0.26	0.26	BIA.MI	0.31	0.32	0.31	0.32	0.37	0.28	0.0	1.0	1.0	-1	1.0			1.0									1.0			0.22												0.0	0.0	0.0	0.0	0.0	0.0		0.0
30385	0.26	0.25	0.25	0.26	0.26	BIA.MI	0.32	0.32	0.32	0.32	0.37	0.28	0.0	1.0	1.0	-1	1.0			1.0									1.0			0.22												0.0	0.0	0.0	0.0	0.0	0.0		0.0
183271	0.26	0.25	0.26	0.26	0.26	BIA.MI	0.32	0.32	0.31	0.32	0.37	0.28	0.0	1.0	1.0	-1	1.0			1.0									1.0			0.22												0.0	0.0	0.0	0.0	0.0	0.0		0.0
211038	0.27	0.25	0.26	0.26	0.26	BIA.MI	0.32	0.33	0.31	0.32	0.37	0.28	0.0	1.0	1.0	-1	1.0			1.0									1.0			0.22		0.31		0.31		0.31						0.0	0.0	0.0	0.0	0.0	0.0		0.0
