volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
47843	0.32	0.31	0.32	0.31	0.17	CNF.MI	0.36	0.36	0.35	0.35			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
9382	0.32	0.31	0.32	0.32	0.18	CNF.MI	0.36	0.36	0.35	0.36			0.0		1.0	0																				0.36											0.0	0.0	0.0	0.0	0.0	0.0		0.0
19447	0.32	0.31	0.32	0.31	0.17	CNF.MI	0.36	0.36	0.35	0.35			0.0		1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
2	0.31	0.31	0.31	0.31	0.17	CNF.MI	0.35	0.35	0.35	0.35			0.0		1.0	0																					0.35										0.0	0.0	0.0	0.0	0.0	0.0		0.0
1002	0.31	0.31	0.31	0.31	0.17	CNF.MI	0.35	0.35	0.35	0.35			0.0		1.0	0																															0.0	0.0	0.0	0.0	0.0	0.0		0.0
1000	0.31	0.31	0.31	0.31	0.17	CNF.MI	0.36	0.36	0.36	0.36			0.0		1.0	0																				0.36											0.0	0.0	0.0	0.0	0.0	0.0		0.0
1002	0.31	0.29	0.3	0.31	0.17	CNF.MI	0.35	0.36	0.34	0.36			0.0		1.0	0								0.29													0.34										0.0	0.0	0.0	0.0	0.0	0.0		0.0
41799	0.31	0.3	0.3	0.3	0.17	CNF.MI	0.36	0.37	0.36	0.36			0.0		1.0	0																															-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
4	0.31	0.31	0.31	0.31	0.18	CNF.MI	0.37	0.38	0.37	0.38			0.0	1.0	1.0	0																				0.38		0.38									0.0	0.0	0.0	0.0	0.0	0.0		0.0
29445	0.31	0.3	0.31	0.31	0.17	CNF.MI	0.39	0.39	0.37	0.38			0.0	1.0	1.0	0							0.31																						0.39		0.0	0.0	0.0	0.0	0.0	0.0		0.0
