volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx
12000	1.8	1.75	1.78	1.75	1.74	UD.MI	1.48	1.5	1.45	1.45			0.0		1.0	0							1.8		1.8											1.5												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
6000	1.79	1.75	1.79	1.76	1.75	UD.MI	1.46	1.46	1.43	1.44			0.0		1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
7000	1.79	1.75	1.77	1.75	1.73	UD.MI	1.41	1.43	1.39	1.39			0.0		1.0	0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
10000	1.78	1.73	1.77	1.73	1.71	UD.MI	1.36	1.37	1.33	1.33			0.0		-1.0	0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
15000	1.76	1.73	1.76	1.73	1.71	UD.MI	1.36	1.36	1.33	1.33			0.0		-1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
8000	1.72	1.72	1.72	1.72	1.71	UD.MI	1.29	1.29	1.29	1.29			0.0		-1.0	0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
30000	1.75	1.7	1.71	1.7	1.69	UD.MI	1.28	1.31	1.27	1.27			0.0	-1.0	-1.0	0																					1.27		1.27									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
7000	1.72	1.7	1.7	1.72	1.7	UD.MI	1.29	1.3	1.29	1.3			0.0	-1.0	-1.0	0								1.7																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	1.72	1.72	1.72	1.72	1.7	UD.MI	1.31	1.31	1.31	1.31			0.0	-1.0	-1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
17000	1.74	1.68	1.73	1.74	1.73	UD.MI	1.39	1.4	1.35	1.4			0.0	-1.0	-1.0	0							1.74													1.4												0.0	0.0	0.0	0.0	0.0	0.0		0.0
4000	1.74	1.68	1.7	1.74	1.73	UD.MI	1.36	1.39	1.35	1.39			0.0	-1.0	-1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
8000	1.7	1.67	1.7	1.67	1.66	UD.MI	1.35	1.35	1.34	1.34			0.0	-1.0	-1.0	0								1.67																								-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
5000	1.74	1.68	1.74	1.68	1.67	UD.MI	1.34	1.34	1.3	1.3			0.0	-1.0	-1.0	0							1.74																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
9000	1.67	1.67	1.67	1.67	1.66	UD.MI	1.29	1.29	1.29	1.29			0.0	-1.0	-1.0	0								1.67													1.29											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
0	1.67	1.67	1.67	1.67	1.66	UD.MI	1.3	1.3	1.3	1.3			0.0	-1.0	-1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
3000	1.7	1.7	1.7	1.7	1.69	UD.MI	1.31	1.31	1.31	1.31			0.0	-1.0	-1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
10000	1.72	1.68	1.72	1.69	1.68	UD.MI	1.34	1.34	1.3	1.31			0.0	-1.0	-1.0	0																				1.34												-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
7000	1.71	1.7	1.7	1.71	1.7	UD.MI	1.3	1.3	1.3	1.3			0.0	-1.0	-1.0	0							1.71														1.3											0.0	0.0	0.0	0.0	0.0	0.0		0.0
19000	1.72	1.68	1.7	1.68	1.67	UD.MI	1.34	1.36	1.33	1.33			0.0	-1.0	-1.0	0																				1.36		1.36										-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
41000	1.73	1.65	1.73	1.65	1.64	UD.MI	1.36	1.36	1.3	1.3			0.0	-1.0	-1.0	0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
0	1.65	1.65	1.65	1.65	1.64	UD.MI	1.3	1.3	1.3	1.3			0.0	-1.0	-1.0	0								1.65																								0.0	0.0	0.0	0.0	0.0	0.0		0.0
1000	1.67	1.67	1.67	1.67	1.66	UD.MI	1.3	1.3	1.3	1.3			0.0	-1.0	-1.0	0							1.67																									0.0	0.0	0.0	0.0	0.0	0.0		0.0
176000	1.65	1.6	1.65	1.65	1.64	UD.MI	1.29	1.29	1.25	1.29			0.0	-1.0	-1.0	0								1.6		1.6											1.25		1.25									-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
1000	1.67	1.67	1.67	1.67	1.66	UD.MI	1.31	1.31	1.31	1.31			0.0	-1.0	-1.0	0																				1.31												0.0	0.0	0.0	0.0	0.0	0.0		0.0
4000	1.67	1.65	1.67	1.67	1.66	UD.MI	1.27	1.27	1.26	1.27			0.0	-1.0	-1.0	0																					1.26											0.0	0.0	0.0	0.0	0.0	0.0		0.0
2000	1.7	1.68	1.68	1.7	1.68	UD.MI	1.29	1.3	1.29	1.3			0.0	-1.0	-1.0	0																				1.3												0.0	0.0	0.0	0.0	0.0	0.0		0.0
3000	1.71	1.7	1.7	1.71	1.7	UD.MI	1.28	1.29	1.28	1.29			0.0	-1.0	-1.0	0							1.71		1.71																							0.0	0.0	0.0	0.0	0.0	0.0		0.0
4000	1.67	1.67	1.67	1.67	1.66	UD.MI	1.26	1.26	1.26	1.26			0.0	-1.0	-1.0	0								1.67													1.26											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
16000	1.73	1.66	1.66	1.7	1.69	UD.MI	1.26	1.31	1.26	1.29			0.0	-1.0	-1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	1.7	1.7	1.7	1.7	1.69	UD.MI	1.32	1.32	1.32	1.32			0.0	-1.0	-1.0	0							1.7													1.32		1.32										0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	1.7	1.7	1.7	1.7	1.69	UD.MI	1.3	1.3	1.3	1.3			0.0	-1.0	-1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
1000	1.68	1.68	1.68	1.68	1.67	UD.MI	1.27	1.27	1.27	1.27			0.0	-1.0	-1.0	0																					1.27											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
8000	1.68	1.68	1.68	1.68	1.67	UD.MI	1.28	1.28	1.28	1.28			0.0	-1.0	-1.0	0																				1.28												0.0	0.0	0.0	0.0	0.0	0.0		0.0
8000	1.7	1.66	1.7	1.66	1.65	UD.MI	1.27	1.27	1.24	1.24			0.0	-1.0	-1.0	0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
7000	1.66	1.65	1.66	1.65	1.64	UD.MI	1.23	1.23	1.23	1.23			0.0	-1.0	-1.0	0																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
0	1.65	1.65	1.65	1.65	1.64	UD.MI	1.22	1.22	1.22	1.22			0.0	-1.0	-1.0	0																																0.0	0.0	0.0	0.0	0.0	0.0		0.0
26000	1.64	1.58	1.64	1.59	1.58	UD.MI	1.2	1.2	1.16	1.17			0.0	-1.0	-1.0	-1																																-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
94000	1.62	1.57	1.61	1.6	1.59	UD.MI	1.17	1.18	1.15	1.17			0.0	-1.0	-1.0	-1																													1.15			0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	1.6	1.6	1.6	1.6	1.59	UD.MI	1.17	1.17	1.17	1.17			0.0	-1.0	-1.0	-1																					1.17		1.17		1.17							0.0	0.0	0.0	0.0	0.0	0.0		0.0
4000	1.6	1.57	1.57	1.6	1.58	UD.MI	1.16	1.18	1.16	1.18			0.0	-1.0	-1.0	-1								1.57		1.57		1.57				1.0			1.57													0.0	0.0	0.0	0.0	0.0	0.0		0.0
2000	1.6	1.6	1.6	1.6	1.58	UD.MI	1.21	1.21	1.2	1.2			0.0	-1.0	-1.0	-1																1.0			1.57													0.0	0.0	0.0	0.0	0.0	0.0		0.0
32000	1.63	1.6	1.6	1.63	1.62	UD.MI	1.21	1.23	1.21	1.23			0.0	-1.0	-1.0	-1							1.63									1.0			1.57	1.23												0.0	0.0	0.0	0.0	0.0	0.0		0.0
9000	1.61	1.6	1.61	1.6	1.58	UD.MI	1.22	1.22	1.21	1.21			0.0	-1.0	-1.0	-1																1.0			1.57		1.21											-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
11000	1.6	1.59	1.6	1.6	1.58	UD.MI	1.22	1.22	1.21	1.21			0.0	-1.0	-1.0	-1								1.59								1.0			1.57													0.0	0.0	0.0	0.0	0.0	0.0		0.0
11000	1.61	1.6	1.6	1.61	1.6	UD.MI	1.26	1.27	1.26	1.27			0.0	-1.0	-1.0	-1																1.0			1.57													0.0	0.0	0.0	0.0	0.0	0.0		0.0
16000	1.64	1.62	1.62	1.64	1.63	UD.MI	1.28	1.3	1.28	1.3			0.0	-1.0	-1.0	-1							1.64									1.0			1.57	1.3												0.0	0.0	0.0	0.0	0.0	0.0		0.0
31000	1.67	1.61	1.65	1.61	1.6	UD.MI	1.29	1.3	1.26	1.26			0.0	-1.0	-1.0	-1																1.0			1.57													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
11000	1.62	1.61	1.62	1.61	1.6	UD.MI	1.25	1.25	1.24	1.24			0.0	-1.0	-1.0	-1								1.61								1.0			1.57		1.24	1.25										0.0	0.0	0.0	0.0	0.0	0.0		0.0
7000	1.65	1.62	1.62	1.65	1.64	UD.MI	1.24	1.26	1.24	1.26			0.0	-1.0	-1.0	-1																1.0			1.57													0.0	0.0	0.0	0.0	0.0	0.0		0.0
0	1.65	1.65	1.65	1.65	1.64	UD.MI	1.28	1.28	1.28	1.28			0.0	-1.0	-1.0	-1																1.0			1.57													0.0	0.0	0.0	0.0	0.0	0.0		0.0
50000	1.68	1.62	1.65	1.68	1.67	UD.MI	1.28	1.3	1.26	1.3	1.76	1.15	0.0	-1.0	-1.0	-1	-1.0			-1.0												1.0			1.57	1.3												0.0	0.0	0.0	0.0	0.0	0.0		0.0
9000	1.69	1.65	1.68	1.65	1.64	UD.MI	1.29	1.3	1.27	1.27	1.64	1.15	0.0	-1.0	-1.0	-1	-1.0			-1.0			1.69		1.69							1.0			1.57													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
35000	1.67	1.64	1.65	1.66	1.65	UD.MI	1.23	1.25	1.23	1.24	1.64	1.15	0.0	-1.0	-1.0	-1	-1.0			-1.0												1.0			1.57													0.0	0.0	0.0	0.0	0.0	0.0		0.0
14000	1.66	1.66	1.66	1.66	1.65	UD.MI	1.23	1.23	1.23	1.23	1.64	1.15	0.0	-1.0	-1.0	-1	-1.0			-1.0												1.0			1.57		1.23		1.23									0.0	0.0	0.0	0.0	0.0	0.0		0.0
26000	1.67	1.63	1.64	1.63	1.62	UD.MI	1.23	1.25	1.22	1.22	1.64	1.15	0.0	-1.0	-1.0	-1	-1.0			-1.0				1.63								1.0			1.57													-0.0	-0.0	0.0	-0.0	-0.0	0.0		0.0
