date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	rt	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrg	rflr	rclg	rrg_ch
2019-12-20 08:00:00	100	555.0	520.0	530.0	555.0	555.0	ABC.MI	457.8	479.39	449.16	479.39	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0		449.16		449.16					-1.0			623.81
2019-12-23 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	481.52	481.52	481.52	481.52	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0									-1.0			623.81
2019-12-27 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	484.36	484.36	484.36	484.36	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0									-1.0			623.81
2019-12-30 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	489.55	489.55	489.55	489.55	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0	489.55		489.55						-1.0			623.81
2020-01-02 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	482.77	482.77	482.77	482.77	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0		482.77							-1.0			623.81
2020-01-03 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	485.5	485.5	485.5	485.5	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0									-1.0			623.81
2020-01-06 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	487.99	487.99	487.99	487.99	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0	487.99								-1.0			623.81
2020-01-07 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	485.07	485.07	485.07	485.07	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0									-1.0			623.81
2020-01-08 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	482.85	482.85	482.85	482.85	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0									-1.0			623.81
2020-01-09 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	479.13	479.13	479.13	479.13	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0									-1.0			623.81
2020-01-10 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	479.05	479.05	479.05	479.05	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0		479.05							-1.0			623.81
2020-01-13 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	481.54	481.54	481.54	481.54	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0	481.54								-1.0			623.81
2020-01-14 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	480.92	480.92	480.92	480.92	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0		480.92							-1.0			623.81
2020-01-15 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	484.24	484.24	484.24	484.24	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0	484.24								-1.0			623.81
2020-01-16 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	480.68	480.68	480.68	480.68	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0									-1.0			623.81
2020-01-17 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	476.67	476.67	476.67	476.67	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0		476.67		476.67					-1.0			623.81
2020-01-20 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	479.43	479.43	479.43	479.43	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0									-1.0			623.81
2020-01-21 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	482.59	482.59	482.59	482.59	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0									-1.0			623.81
2020-01-22 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	485.42	485.42	485.42	485.42	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0	485.42								-1.0			623.81
2020-01-23 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	485.4	485.4	485.4	485.4	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0									-1.0			623.81
2020-01-24 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	480.09	480.09	480.09	480.09	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0		480.09							-1.0			623.81
2020-01-27 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	491.43	491.43	491.43	491.43	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0	491.43								-1.0			623.81
2020-01-28 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	478.92	478.92	478.92	478.92	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0									-1.0			623.81
2020-01-29 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	476.2	476.2	476.2	476.2	544.58	423.38	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0		476.2							-1.0			623.81
2020-01-30 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	483.89	483.89	483.89	483.89	544.58	423.38	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0									-1.0			623.81
2020-01-31 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	495.22	495.22	495.22	495.22	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0	495.22		495.22						-1.0			623.81
2020-02-03 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	490.51	490.51	490.51	490.51	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0									-1.0			623.81
2020-02-04 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	482.59	482.59	482.59	482.59	544.58	423.38	-1.0	-1.0	1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0									-1.0			623.81
2020-02-05 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	474.79	474.79	474.79	474.79	539.95	423.38	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	-1.0	-1.0	1.0								-1.0			560.0									-1.0			623.81
2020-02-06 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	469.88	469.88	469.88	469.88	539.95	423.38	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0		469.88							-1.0			623.81
2020-02-07 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	470.11	470.11	470.11	470.11	539.95	423.38	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0	470.11								-1.0			623.81
2020-02-10 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	469.54	469.54	469.54	469.54	539.95	423.38	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0									-1.0			623.81
2020-02-11 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	466.09	466.09	466.09	466.09	539.95	423.38	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0									-1.0			623.81
2020-02-12 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	462.87	462.87	462.87	462.87	539.95	423.38	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0									-1.0			623.81
2020-02-13 08:00:00	0	555.0	555.0	555.0	555.0	555.0	ABC.MI	462.29	462.29	462.29	462.29	539.95	423.38	-1.0	-1.0	-1.0	1	-1.0	-1.0	1.0	1.0	-1.0	-1.0								-1.0			560.0		462.29							-1.0			623.81
