date	volume	high	low	open	close	adj_close	ticker	ropen	rhigh	rlow	rclose	rhi_100	rlo_100	rbo_100	rtt_50	rtt_20	rtt_5020	rema_50100	rema_100150	rema_50100150	rsma_50100	rsma_100150	rsma_50100150	hi1	lo1	hi2	lo2	hi3	lo3	hi4	lo4	rg	flr	clg	rg_ch	rh1	rl1	rh2	rl2	rh3	rl3	rh4	rl4	rrt	rrg	rflr	rclg	rrg_ch	rbo_100_chg1D	rbo_100_chg1D_fx	rbo_100_PL_cum	rbo_100_returns	rbo_100_log_returns	rbo_100_cumul	stop_loss	rbo_100_PL_cum_fx	rbo_100_trading_edge	rbo_100_geometric_expectancy	rbo_100_kelly	rbo_100_constant	rbo_100_concave	rbo_100_convex	rbo_100_equal_weight	EUR	rtt_5020_chg1D	rtt_5020_chg1D_fx	rtt_5020_PL_cum	rtt_5020_returns	rtt_5020_log_returns	rtt_5020_cumul	rtt_5020_PL_cum_fx	rtt_5020_trading_edge	rtt_5020_geometric_expectancy	rtt_5020_kelly	rtt_5020_constant	rtt_5020_concave	rtt_5020_convex	rtt_5020_equal_weight	rema_50100150_chg1D	rema_50100150_chg1D_fx	rema_50100150_PL_cum	rema_50100150_returns	rema_50100150_log_returns	rema_50100150_cumul	rema_50100150_PL_cum_fx	rema_50100150_trading_edge	rema_50100150_geometric_expectancy	rema_50100150_kelly	rema_50100150_constant	rema_50100150_concave	rema_50100150_convex	rema_50100150_equal_weight	rsma_50100150_chg1D	rsma_50100150_chg1D_fx	rsma_50100150_PL_cum	rsma_50100150_returns	rsma_50100150_log_returns	rsma_50100150_cumul	rsma_50100150_PL_cum_fx	rsma_50100150_trading_edge	rsma_50100150_geometric_expectancy	rsma_50100150_kelly	rsma_50100150_constant	rsma_50100150_concave	rsma_50100150_convex	rsma_50100150_equal_weight	rt	rrg_chg1D	rrg_chg1D_fx	rrg_PL_cum	rrg_returns	rrg_log_returns	rrg_cumul	rrg_PL_cum_fx	rrg_trading_edge	rrg_geometric_expectancy	rrg_kelly	rrg_constant	rrg_concave	rrg_convex	rrg_equal_weight
2021-06-14 07:00:00	35909	5.12	4.94	5.06	5.11	5.11	OSA.MI	3.73	3.77	3.64	3.77	5.21	3.47	0.0	-1.0	1.0	0	1.0	1.0	1.0	-1.0	1.0	-1.0												4.47										-1.0			4.05	0.0	0.0	0.0	0.0	0.0	0.0	5.36	0.0	0.0	0.0	inf	100000.0	100000.0	100000.0	100000.0	1	0.0	0.0	0.4	0.0	0.0	0.12	0.4	0.0	0.0	71.4	100560.0	100882.0	100860.0	100916.0	0.02	0.02	0.13	0.0	0.0	0.03	0.13	0.0	0.0	inf	100130.0	100195.0	100195.0	100130.0	-0.02	-0.02	-0.13	-0.0	-0.0	-0.03	-0.13	-0.0	-0.0	-inf	100182.0	100260.0	100260.0	99870.0		-0.020000000000000462	-0.020000000000000462	-0.20000000000000018	-0.003929273084479545	-0.003921573653181865	-0.03913894324853229	-0.20000000000000018	0.0014740340372423899	0.0014720137115005194	216.80557086702083	100120.0	100180.0	100180.0	99800.0
2021-06-15 07:00:00	9998	5.17	5.07	5.17	5.14	5.14	OSA.MI	3.81	3.81	3.74	3.79	5.21	3.47	0.0	-1.0	1.0	0	1.0	1.0	1.0	-1.0	1.0	-1.0	5.17											4.47	3.81									-1.0			4.05	0.0	0.0	0.0	0.0	0.0	0.0	5.36	0.0	0.0	0.0	inf	100000.0	100000.0	100000.0	100000.0	1	0.0	0.0	0.4	0.0	0.0	0.12	0.4	0.0	0.0	66.54	100560.0	100882.0	100860.0	100916.0	0.03	0.03	0.16	0.01	0.01	0.03	0.16	0.0	0.0	inf	100160.0	100240.0	100240.0	100160.0	-0.03	-0.03	-0.16	-0.01	-0.01	-0.03	-0.16	-0.0	-0.0	-inf	100224.0	100320.0	100320.0	99840.0		-0.02999999999999936	-0.02999999999999936	-0.22999999999999954	-0.005870841487279677	-0.005853675251460508	-0.0447470817120621	-0.22999999999999954	0.0014106101370993558	0.001408456121848367	203.25006760744816	100138.0	100207.0	100207.0	99770.0
2021-06-16 07:00:00	20516	5.12	4.92	4.95	5.12	5.12	OSA.MI	3.65	3.77	3.63	3.77	5.21	3.47	0.0	-1.0	1.0	0	1.0	1.0	1.0	-1.0	1.0	-1.0		4.92										4.47		3.63								-1.0			4.05	-0.0	-0.0	0.0	-0.0	-0.0	0.0	5.36	0.0	-0.0	0.0	inf	100000.0	100000.0	100000.0	100000.0	1	-0.0	-0.0	0.4	-0.0	-0.0	0.12	0.4	0.0	0.0	73.49	100560.0	100882.0	100860.0	100916.0	-0.02	-0.02	0.14	-0.0	-0.0	0.03	0.14	0.0	0.0	25361.85	100140.0	100210.0	100210.0	100140.0	0.02	0.02	-0.14	0.0	0.0	-0.03	-0.14	0.0	0.0	1721.63	100196.0	100280.0	100280.0	99860.0		0.019999999999999574	0.019999999999999574	-0.20999999999999996	0.0038910505836574627	0.0038986404156571976	-0.041015625	-0.20999999999999996	0.001442189124466179	0.0014400032688519637	204.49949300468825	100126.0	100189.0	100189.0	99790.0
2021-06-17 07:00:00	18906	5.21	5.03	5.14	5.04	5.04	OSA.MI	3.8	3.85	3.71	3.72	5.21	3.47	0.0	-1.0	1.0	0	1.0	1.0	1.0	-1.0	1.0	-1.0	5.21											4.47										-1.0			4.05	-0.0	-0.0	0.0	-0.0	-0.0	0.0	5.36	0.0	-0.0	0.0	inf	100000.0	100000.0	100000.0	100000.0	1	-0.0	-0.0	0.4	-0.0	-0.0	0.12	0.4	0.0	0.0	71.58	100560.0	100882.0	100860.0	100916.0	-0.08	-0.08	0.06	-0.02	-0.02	0.01	0.06	0.0	0.0	4924.79	100060.0	100090.0	100090.0	100060.0	0.08	0.08	-0.06	0.02	0.02	-0.01	-0.06	0.0	0.0	2749.63	100084.0	100120.0	100120.0	99940.0		0.08000000000000007	0.08000000000000007	-0.1299999999999999	0.015625	0.015748356968139168	-0.025793650793650813	-0.1299999999999999	0.0015697508159081067	0.0015674339702380635	209.16684801567425	100078.0	100117.0	100117.0	99870.0
2021-06-18 07:00:00	9655	5.14	4.97	5.14	5.0	5.0	OSA.MI	3.87	3.87	3.74	3.76	5.21	3.47	0.0	-1.0	1.0	0	1.0	1.0	1.0	-1.0	1.0	-1.0												4.47	3.87									-1.0			4.05	-0.0	-0.0	0.0	-0.0	-0.0	0.0	5.36	0.0	-0.0	0.0	inf	100000.0	100000.0	100000.0	100000.0	1	-0.0	-0.0	0.4	-0.0	-0.0	0.12	0.4	0.0	0.0	71.34	100560.0	100882.0	100860.0	100916.0	-0.04	-0.04	0.02	-0.01	-0.01	0.0	0.02	0.0	0.0	3417.7	100020.0	100030.0	100030.0	100020.0	0.04	0.04	-0.02	0.01	0.01	-0.0	-0.02	0.0	0.0	2823.06	100028.0	100040.0	100040.0	99980.0		0.040000000000000036	0.040000000000000036	-0.08999999999999986	0.007936507936507908	0.007968169649176845	-0.018000000000000016	-0.08999999999999986	0.0016342929900664384	0.0016319084186529054	211.32030123162758	100054.0	100081.0	100081.0	99910.0
2021-06-21 07:00:00	11272	5.08	4.91	5.08	5.03	5.03	OSA.MI	3.8	3.8	3.67	3.76	5.21	3.47	0.0	-1.0	1.0	0	1.0	1.0	1.0	-1.0	1.0	-1.0		4.91										4.47		3.67								-1.0			4.05	0.0	0.0	0.0	0.0	0.0	0.0	5.36	0.0	0.0	0.0	inf	100000.0	100000.0	100000.0	100000.0	1	0.0	0.0	0.4	0.0	0.0	0.12	0.4	0.0	0.0	65.77	100560.0	100882.0	100860.0	100916.0	0.03	0.03	0.05	0.01	0.01	0.01	0.05	0.0	0.0	3432.79	100050.0	100075.0	100075.0	100050.0	-0.03	-0.03	-0.05	-0.01	-0.01	-0.01	-0.05	0.0	0.0	2282.38	100070.0	100100.0	100100.0	99950.0		-0.03000000000000025	-0.03000000000000025	-0.1200000000000001	-0.006000000000000005	-0.005982071677547469	-0.02385685884691846	-0.1200000000000001	0.0015666800453176402	0.0015641473293790398	198.4460811540018	100072.0	100108.0	100108.0	99880.0
2021-06-22 07:00:00	6934	5.17	4.97	5.11	5.03	5.03	OSA.MI	3.83	3.88	3.73	3.77	5.21	3.47	0.0	-1.0	1.0	0	1.0	1.0	1.0	-1.0	1.0	-1.0												4.47										-1.0			4.05	0.0	0.0	0.0	0.0	0.0	0.0	5.36	0.0	0.0	0.0	inf	100000.0	100000.0	100000.0	100000.0	1	0.0	0.0	0.4	0.0	0.0	0.12	0.4	0.0	0.0	52.01	100560.0	100882.0	100860.0	100916.0	0.0	0.0	0.05	0.0	0.0	0.01	0.05	0.0	0.0	3432.79	100050.0	100075.0	100075.0	100050.0	-0.0	-0.0	-0.05	-0.0	-0.0	-0.01	-0.05	0.0	0.0	2282.38	100070.0	100100.0	100100.0	99950.0		-0.0	-0.0	-0.1200000000000001	-0.0	-0.0	-0.02385685884691846	-0.1200000000000001	0.0015666800453176402	0.0015641473293790398	198.4460811540018	100072.0	100108.0	100108.0	99880.0
2021-06-23 07:00:00	7753	5.15	4.97	5.09	5.08	5.08	OSA.MI	3.85	3.9	3.76	3.85	5.21	3.47	0.0	-1.0	1.0	0	1.0	1.0	1.0	-1.0	1.0	-1.0	5.15											4.47	3.9									-1.0			4.05	0.0	0.0	0.0	0.0	0.0	0.0	5.36	0.0	0.0	0.0	inf	100000.0	100000.0	100000.0	100000.0	1	0.0	0.0	0.4	0.0	0.0	0.12	0.4	0.0	0.0	35.69	100560.0	100882.0	100860.0	100916.0	0.05	0.05	0.1	0.01	0.01	0.02	0.1	0.0	0.0	3449.4	100100.0	100150.0	100150.0	100100.0	-0.05	-0.05	-0.1	-0.01	-0.01	-0.02	-0.1	0.0	0.0	1704.55	100140.0	100200.0	100200.0	99900.0		-0.04999999999999982	-0.04999999999999982	-0.16999999999999993	-0.00994035785288272	-0.0098912774787427	-0.03346456692913391	-0.16999999999999993	0.0014896613540508234	0.0014869419597802747	182.53473340188344	100102.0	100153.0	100153.0	99830.0
2021-06-24 07:00:00	8645	5.12	5.0	5.12	5.0	5.0	OSA.MI	3.82	3.82	3.73	3.73	5.1	3.47	0.0	-1.0	1.0	0	1.0	1.0	1.0	-1.0	1.0	-1.0												4.47										-1.0			4.05	-0.0	-0.0	0.0	-0.0	-0.0	0.0	5.36	0.0	-0.0	0.0	inf	100000.0	100000.0	100000.0	100000.0	1	-0.0	-0.0	0.4	-0.0	-0.0	0.12	0.4	0.0	0.0	21.33	100560.0	100882.0	100860.0	100916.0	-0.08	-0.08	0.02	-0.02	-0.02	0.0	0.02	0.0	0.0	2123.26	100020.0	100030.0	100030.0	100020.0	0.08	0.08	-0.02	0.02	0.02	-0.0	-0.02	0.0	0.0	1797.08	100028.0	100040.0	100040.0	99980.0		0.08000000000000007	0.08000000000000007	-0.08999999999999986	0.015748031496062964	0.01587334915629012	-0.018000000000000016	-0.08999999999999986	0.0016150608123855152	0.001612188675847781	186.87958879077945	100054.0	100081.0	100081.0	99910.0
2021-06-25 07:00:00	15727	5.07	4.96	5.07	4.97	4.97	OSA.MI	3.77	3.77	3.69	3.7	5.06	3.47	0.0	-1.0	1.0	0	1.0	1.0	1.0	-1.0	1.0	-1.0		4.96										4.47		3.69								-1.0			4.05	-0.0	-0.0	0.0	-0.0	-0.0	0.0	5.36	0.0	-0.0	0.0	inf	100000.0	100000.0	100000.0	100000.0	1	-0.0	-0.0	0.4	-0.0	-0.0	0.12	0.4	0.0	0.0	20.61	100560.0	100882.0	100860.0	100916.0	-0.03	-0.03	-0.01	-0.01	-0.01	-0.0	-0.01	0.0	0.0	1813.67	99990.0	99985.0	99985.0	99990.0	0.03	0.03	0.01	0.01	0.01	0.0	0.01	0.0	0.0	1816.64	99986.0	99980.0	99980.0	100010.0		0.03000000000000025	0.03000000000000025	-0.05999999999999961	0.006000000000000005	0.006018072325563021	-0.012072434607645954	-0.05999999999999961	0.0016626035837574635	0.001659672449543681	188.4029580941439	100036.0	100054.0	100054.0	99940.0
2021-06-28 07:00:00	33521	5.1	4.98	5.05	5.09	5.09	OSA.MI	3.8	3.84	3.75	3.83	5.06	3.47	0.0	-1.0	1.0	0	1.0	1.0	1.0	-1.0	1.0	-1.0	5.1											4.47	3.84									-1.0			4.05	0.0	0.0	0.0	0.0	0.0	0.0	5.36	0.0	0.0	0.0	inf	100000.0	100000.0	100000.0	100000.0	1	0.0	0.0	0.4	0.0	0.0	0.12	0.4	0.0	0.0	19.89	100560.0	100882.0	100860.0	100916.0	0.12	0.12	0.11	0.02	0.02	0.02	0.11	0.0	0.0	1848.86	100110.0	100165.0	100165.0	100110.0	-0.12	-0.12	-0.11	-0.02	-0.02	-0.02	-0.11	0.0	0.0	1127.74	100154.0	100220.0	100220.0	99890.0		-0.1200000000000001	-0.1200000000000001	-0.17999999999999972	-0.024144869215291687	-0.023857990453893953	-0.035363457760314354	-0.17999999999999972	0.0015506907263013792	0.001547410152816342	162.90280365898852	100108.0	100162.0	100162.0	99820.0
